#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=4.dat'
#   Date of creation: 11. May 2022
#   Time of creation: 08:32:37
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(4)' coupled to the particle 'H3+'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 10 calculated values between 1.0000 and 10.0000
#              T_i3: Fixed value 2000.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 10 calculated values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_i3: 10 calculated values between 1.0000e+15 and 1.0000e+17

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_i3          POP_COEFF      
   1.0000        1.0000e+18    1.0000e+15    1.54306358e-27     
   1.0000        1.0000e+18    1.6681e+15    1.54306358e-27     
   1.0000        1.0000e+18    2.7826e+15    1.54306358e-27     
   1.0000        1.0000e+18    4.6416e+15    1.54306358e-27     
   1.0000        1.0000e+18    7.7426e+15    1.54306358e-27     
   1.0000        1.0000e+18    1.2915e+16    1.54306358e-27     
   1.0000        1.0000e+18    2.1544e+16    1.54306358e-27     
   1.0000        1.0000e+18    3.5938e+16    1.54306358e-27     
   1.0000        1.0000e+18    5.9948e+16    1.54306358e-27     
   1.0000        1.0000e+18    1.0000e+17    1.54306358e-27     
   1.0000        1.6681e+18    1.0000e+15    2.42235845e-27     
   1.0000        1.6681e+18    1.6681e+15    2.42235845e-27     
   1.0000        1.6681e+18    2.7826e+15    2.42235845e-27     
   1.0000        1.6681e+18    4.6416e+15    2.42235845e-27     
   1.0000        1.6681e+18    7.7426e+15    2.42235845e-27     
   1.0000        1.6681e+18    1.2915e+16    2.42235845e-27     
   1.0000        1.6681e+18    2.1544e+16    2.42235845e-27     
   1.0000        1.6681e+18    3.5938e+16    2.42235845e-27     
   1.0000        1.6681e+18    5.9948e+16    2.42235845e-27     
   1.0000        1.6681e+18    1.0000e+17    2.42235845e-27     
   1.0000        2.7826e+18    1.0000e+15    3.72407501e-27     
   1.0000        2.7826e+18    1.6681e+15    3.72407501e-27     
   1.0000        2.7826e+18    2.7826e+15    3.72407501e-27     
   1.0000        2.7826e+18    4.6416e+15    3.72407501e-27     
   1.0000        2.7826e+18    7.7426e+15    3.72407501e-27     
   1.0000        2.7826e+18    1.2915e+16    3.72407501e-27     
   1.0000        2.7826e+18    2.1544e+16    3.72407501e-27     
   1.0000        2.7826e+18    3.5938e+16    3.72407501e-27     
   1.0000        2.7826e+18    5.9948e+16    3.72407501e-27     
   1.0000        2.7826e+18    1.0000e+17    3.72407501e-27     
   1.0000        4.6416e+18    1.0000e+15    5.60358053e-27     
   1.0000        4.6416e+18    1.6681e+15    5.60358053e-27     
   1.0000        4.6416e+18    2.7826e+15    5.60358053e-27     
   1.0000        4.6416e+18    4.6416e+15    5.60358053e-27     
   1.0000        4.6416e+18    7.7426e+15    5.60358053e-27     
   1.0000        4.6416e+18    1.2915e+16    5.60358053e-27     
   1.0000        4.6416e+18    2.1544e+16    5.60358053e-27     
   1.0000        4.6416e+18    3.5938e+16    5.60358053e-27     
   1.0000        4.6416e+18    5.9948e+16    5.60358053e-27     
   1.0000        4.6416e+18    1.0000e+17    5.60358053e-27     
   1.0000        7.7426e+18    1.0000e+15    8.26093174e-27     
   1.0000        7.7426e+18    1.6681e+15    8.26093174e-27     
   1.0000        7.7426e+18    2.7826e+15    8.26093174e-27     
   1.0000        7.7426e+18    4.6416e+15    8.26093174e-27     
   1.0000        7.7426e+18    7.7426e+15    8.26093174e-27     
   1.0000        7.7426e+18    1.2915e+16    8.26093174e-27     
   1.0000        7.7426e+18    2.1544e+16    8.26093174e-27     
   1.0000        7.7426e+18    3.5938e+16    8.26093174e-27     
   1.0000        7.7426e+18    5.9948e+16    8.26093174e-27     
   1.0000        7.7426e+18    1.0000e+17    8.26093174e-27     
   1.0000        1.2915e+19    1.0000e+15    1.19217621e-26     
   1.0000        1.2915e+19    1.6681e+15    1.19217621e-26     
   1.0000        1.2915e+19    2.7826e+15    1.19217621e-26     
   1.0000        1.2915e+19    4.6416e+15    1.19217621e-26     
   1.0000        1.2915e+19    7.7426e+15    1.19217621e-26     
   1.0000        1.2915e+19    1.2915e+16    1.19217621e-26     
   1.0000        1.2915e+19    2.1544e+16    1.19217621e-26     
   1.0000        1.2915e+19    3.5938e+16    1.19217621e-26     
   1.0000        1.2915e+19    5.9948e+16    1.19217621e-26     
   1.0000        1.2915e+19    1.0000e+17    1.19217621e-26     
   1.0000        2.1544e+19    1.0000e+15    1.67372305e-26     
   1.0000        2.1544e+19    1.6681e+15    1.67372305e-26     
   1.0000        2.1544e+19    2.7826e+15    1.67372305e-26     
   1.0000        2.1544e+19    4.6416e+15    1.67372305e-26     
   1.0000        2.1544e+19    7.7426e+15    1.67372305e-26     
   1.0000        2.1544e+19    1.2915e+16    1.67372305e-26     
   1.0000        2.1544e+19    2.1544e+16    1.67372305e-26     
   1.0000        2.1544e+19    3.5938e+16    1.67372305e-26     
   1.0000        2.1544e+19    5.9948e+16    1.67372305e-26     
   1.0000        2.1544e+19    1.0000e+17    1.67372305e-26     
   1.0000        3.5938e+19    1.0000e+15    2.25985877e-26     
   1.0000        3.5938e+19    1.6681e+15    2.25985877e-26     
   1.0000        3.5938e+19    2.7826e+15    2.25985877e-26     
   1.0000        3.5938e+19    4.6416e+15    2.25985877e-26     
   1.0000        3.5938e+19    7.7426e+15    2.25985877e-26     
   1.0000        3.5938e+19    1.2915e+16    2.25985877e-26     
   1.0000        3.5938e+19    2.1544e+16    2.25985877e-26     
   1.0000        3.5938e+19    3.5938e+16    2.25985877e-26     
   1.0000        3.5938e+19    5.9948e+16    2.25985877e-26     
   1.0000        3.5938e+19    1.0000e+17    2.25985877e-26     
   1.0000        5.9948e+19    1.0000e+15    2.89884985e-26     
   1.0000        5.9948e+19    1.6681e+15    2.89884985e-26     
   1.0000        5.9948e+19    2.7826e+15    2.89884985e-26     
   1.0000        5.9948e+19    4.6416e+15    2.89884985e-26     
   1.0000        5.9948e+19    7.7426e+15    2.89884985e-26     
   1.0000        5.9948e+19    1.2915e+16    2.89884985e-26     
   1.0000        5.9948e+19    2.1544e+16    2.89884985e-26     
   1.0000        5.9948e+19    3.5938e+16    2.89884985e-26     
   1.0000        5.9948e+19    5.9948e+16    2.89884985e-26     
   1.0000        5.9948e+19    1.0000e+17    2.89884985e-26     
   1.0000        1.0000e+20    1.0000e+15    3.50623780e-26     
   1.0000        1.0000e+20    1.6681e+15    3.50623780e-26     
   1.0000        1.0000e+20    2.7826e+15    3.50623780e-26     
   1.0000        1.0000e+20    4.6416e+15    3.50623780e-26     
   1.0000        1.0000e+20    7.7426e+15    3.50623780e-26     
   1.0000        1.0000e+20    1.2915e+16    3.50623780e-26     
   1.0000        1.0000e+20    2.1544e+16    3.50623780e-26     
   1.0000        1.0000e+20    3.5938e+16    3.50623780e-26     
   1.0000        1.0000e+20    5.9948e+16    3.50623780e-26     
   1.0000        1.0000e+20    1.0000e+17    3.50623780e-26     
   1.2915        1.0000e+18    1.0000e+15    2.89726326e-27     
   1.2915        1.0000e+18    1.6681e+15    2.89726326e-27     
   1.2915        1.0000e+18    2.7826e+15    2.89726326e-27     
   1.2915        1.0000e+18    4.6416e+15    2.89726326e-27     
   1.2915        1.0000e+18    7.7426e+15    2.89726326e-27     
   1.2915        1.0000e+18    1.2915e+16    2.89726326e-27     
   1.2915        1.0000e+18    2.1544e+16    2.89726326e-27     
   1.2915        1.0000e+18    3.5938e+16    2.89726326e-27     
   1.2915        1.0000e+18    5.9948e+16    2.89726326e-27     
   1.2915        1.0000e+18    1.0000e+17    2.89726326e-27     
   1.2915        1.6681e+18    1.0000e+15    4.46662700e-27     
   1.2915        1.6681e+18    1.6681e+15    4.46662700e-27     
   1.2915        1.6681e+18    2.7826e+15    4.46662700e-27     
   1.2915        1.6681e+18    4.6416e+15    4.46662700e-27     
   1.2915        1.6681e+18    7.7426e+15    4.46662700e-27     
   1.2915        1.6681e+18    1.2915e+16    4.46662700e-27     
   1.2915        1.6681e+18    2.1544e+16    4.46662700e-27     
   1.2915        1.6681e+18    3.5938e+16    4.46662700e-27     
   1.2915        1.6681e+18    5.9948e+16    4.46662700e-27     
   1.2915        1.6681e+18    1.0000e+17    4.46662700e-27     
   1.2915        2.7826e+18    1.0000e+15    6.71605109e-27     
   1.2915        2.7826e+18    1.6681e+15    6.71605109e-27     
   1.2915        2.7826e+18    2.7826e+15    6.71605109e-27     
   1.2915        2.7826e+18    4.6416e+15    6.71605109e-27     
   1.2915        2.7826e+18    7.7426e+15    6.71605109e-27     
   1.2915        2.7826e+18    1.2915e+16    6.71605109e-27     
   1.2915        2.7826e+18    2.1544e+16    6.71605109e-27     
   1.2915        2.7826e+18    3.5938e+16    6.71605109e-27     
   1.2915        2.7826e+18    5.9948e+16    6.71605109e-27     
   1.2915        2.7826e+18    1.0000e+17    6.71605109e-27     
   1.2915        4.6416e+18    1.0000e+15    9.85390419e-27     
   1.2915        4.6416e+18    1.6681e+15    9.85390419e-27     
   1.2915        4.6416e+18    2.7826e+15    9.85390419e-27     
   1.2915        4.6416e+18    4.6416e+15    9.85390419e-27     
   1.2915        4.6416e+18    7.7426e+15    9.85390419e-27     
   1.2915        4.6416e+18    1.2915e+16    9.85390419e-27     
   1.2915        4.6416e+18    2.1544e+16    9.85390419e-27     
   1.2915        4.6416e+18    3.5938e+16    9.85390419e-27     
   1.2915        4.6416e+18    5.9948e+16    9.85390419e-27     
   1.2915        4.6416e+18    1.0000e+17    9.85390419e-27     
   1.2915        7.7426e+18    1.0000e+15    1.41358795e-26     
   1.2915        7.7426e+18    1.6681e+15    1.41358795e-26     
   1.2915        7.7426e+18    2.7826e+15    1.41358795e-26     
   1.2915        7.7426e+18    4.6416e+15    1.41358795e-26     
   1.2915        7.7426e+18    7.7426e+15    1.41358795e-26     
   1.2915        7.7426e+18    1.2915e+16    1.41358795e-26     
   1.2915        7.7426e+18    2.1544e+16    1.41358795e-26     
   1.2915        7.7426e+18    3.5938e+16    1.41358795e-26     
   1.2915        7.7426e+18    5.9948e+16    1.41358795e-26     
   1.2915        7.7426e+18    1.0000e+17    1.41358795e-26     
   1.2915        1.2915e+19    1.0000e+15    1.98083144e-26     
   1.2915        1.2915e+19    1.6681e+15    1.98083144e-26     
   1.2915        1.2915e+19    2.7826e+15    1.98083144e-26     
   1.2915        1.2915e+19    4.6416e+15    1.98083144e-26     
   1.2915        1.2915e+19    7.7426e+15    1.98083144e-26     
   1.2915        1.2915e+19    1.2915e+16    1.98083144e-26     
   1.2915        1.2915e+19    2.1544e+16    1.98083144e-26     
   1.2915        1.2915e+19    3.5938e+16    1.98083144e-26     
   1.2915        1.2915e+19    5.9948e+16    1.98083144e-26     
   1.2915        1.2915e+19    1.0000e+17    1.98083144e-26     
   1.2915        2.1544e+19    1.0000e+15    2.69213646e-26     
   1.2915        2.1544e+19    1.6681e+15    2.69213646e-26     
   1.2915        2.1544e+19    2.7826e+15    2.69213646e-26     
   1.2915        2.1544e+19    4.6416e+15    2.69213646e-26     
   1.2915        2.1544e+19    7.7426e+15    2.69213646e-26     
   1.2915        2.1544e+19    1.2915e+16    2.69213646e-26     
   1.2915        2.1544e+19    2.1544e+16    2.69213646e-26     
   1.2915        2.1544e+19    3.5938e+16    2.69213646e-26     
   1.2915        2.1544e+19    5.9948e+16    2.69213646e-26     
   1.2915        2.1544e+19    1.0000e+17    2.69213646e-26     
   1.2915        3.5938e+19    1.0000e+15    3.50745396e-26     
   1.2915        3.5938e+19    1.6681e+15    3.50745396e-26     
   1.2915        3.5938e+19    2.7826e+15    3.50745396e-26     
   1.2915        3.5938e+19    4.6416e+15    3.50745396e-26     
   1.2915        3.5938e+19    7.7426e+15    3.50745396e-26     
   1.2915        3.5938e+19    1.2915e+16    3.50745396e-26     
   1.2915        3.5938e+19    2.1544e+16    3.50745396e-26     
   1.2915        3.5938e+19    3.5938e+16    3.50745396e-26     
   1.2915        3.5938e+19    5.9948e+16    3.50745396e-26     
   1.2915        3.5938e+19    1.0000e+17    3.50745396e-26     
   1.2915        5.9948e+19    1.0000e+15    4.33333604e-26     
   1.2915        5.9948e+19    1.6681e+15    4.33333604e-26     
   1.2915        5.9948e+19    2.7826e+15    4.33333604e-26     
   1.2915        5.9948e+19    4.6416e+15    4.33333604e-26     
   1.2915        5.9948e+19    7.7426e+15    4.33333604e-26     
   1.2915        5.9948e+19    1.2915e+16    4.33333604e-26     
   1.2915        5.9948e+19    2.1544e+16    4.33333604e-26     
   1.2915        5.9948e+19    3.5938e+16    4.33333604e-26     
   1.2915        5.9948e+19    5.9948e+16    4.33333604e-26     
