#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=4.dat'
#   Date of creation: 11. May 2022
#   Time of creation: 08:15:18
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(4)' coupled to the particle 'H2+'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 10 calculated values between 1.0000 and 10.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 10 calculated values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_i2: 10 calculated values between 1.0000e+15 and 1.0000e+17

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_i2          POP_COEFF      
   1.2915        2.7826e+18    1.0000e+15    3.20400940e-22     
   1.2915        2.7826e+18    1.6681e+15    3.20400940e-22     
   1.2915        2.7826e+18    2.7826e+15    3.20400940e-22     
   1.2915        2.7826e+18    4.6416e+15    3.20400940e-22     
   1.2915        2.7826e+18    7.7426e+15    3.20400940e-22     
   1.2915        2.7826e+18    1.2915e+16    3.20400940e-22     
   1.2915        2.7826e+18    2.1544e+16    3.20400940e-22     
   1.2915        2.7826e+18    3.5938e+16    3.20400940e-22     
   1.2915        2.7826e+18    5.9948e+16    3.20400940e-22     
   1.2915        2.7826e+18    1.0000e+17    3.20400940e-22     
   1.2915        4.6416e+18    1.0000e+15    2.55042536e-22     
   1.2915        4.6416e+18    1.6681e+15    2.55042536e-22     
   1.2915        4.6416e+18    2.7826e+15    2.55042536e-22     
   1.2915        4.6416e+18    4.6416e+15    2.55042536e-22     
   1.2915        4.6416e+18    7.7426e+15    2.55042536e-22     
   1.2915        4.6416e+18    1.2915e+16    2.55042536e-22     
   1.2915        4.6416e+18    2.1544e+16    2.55042536e-22     
   1.2915        4.6416e+18    3.5938e+16    2.55042536e-22     
   1.2915        4.6416e+18    5.9948e+16    2.55042536e-22     
   1.2915        4.6416e+18    1.0000e+17    2.55042536e-22     
   1.2915        7.7426e+18    1.0000e+15    1.94383147e-22     
   1.2915        7.7426e+18    1.6681e+15    1.94383147e-22     
   1.2915        7.7426e+18    2.7826e+15    1.94383147e-22     
   1.2915        7.7426e+18    4.6416e+15    1.94383147e-22     
   1.2915        7.7426e+18    7.7426e+15    1.94383147e-22     
   1.2915        7.7426e+18    1.2915e+16    1.94383147e-22     
   1.2915        7.7426e+18    2.1544e+16    1.94383147e-22     
   1.2915        7.7426e+18    3.5938e+16    1.94383147e-22     
   1.2915        7.7426e+18    5.9948e+16    1.94383147e-22     
   1.2915        7.7426e+18    1.0000e+17    1.94383147e-22     
   1.2915        1.2915e+19    1.0000e+15    1.43319363e-22     
   1.2915        1.2915e+19    1.6681e+15    1.43319363e-22     
   1.2915        1.2915e+19    2.7826e+15    1.43319363e-22     
   1.2915        1.2915e+19    4.6416e+15    1.43319363e-22     
   1.2915        1.2915e+19    7.7426e+15    1.43319363e-22     
   1.2915        1.2915e+19    1.2915e+16    1.43319363e-22     
   1.2915        1.2915e+19    2.1544e+16    1.43319363e-22     
   1.2915        1.2915e+19    3.5938e+16    1.43319363e-22     
   1.2915        1.2915e+19    5.9948e+16    1.43319363e-22     
   1.2915        1.2915e+19    1.0000e+17    1.43319363e-22     
   1.2915        2.1544e+19    1.0000e+15    1.03119590e-22     
   1.2915        2.1544e+19    1.6681e+15    1.03119590e-22     
   1.2915        2.1544e+19    2.7826e+15    1.03119590e-22     
   1.2915        2.1544e+19    4.6416e+15    1.03119590e-22     
   1.2915        2.1544e+19    7.7426e+15    1.03119590e-22     
   1.2915        2.1544e+19    1.2915e+16    1.03119590e-22     
   1.2915        2.1544e+19    2.1544e+16    1.03119590e-22     
   1.2915        2.1544e+19    3.5938e+16    1.03119590e-22     
   1.2915        2.1544e+19    5.9948e+16    1.03119590e-22     
   1.2915        2.1544e+19    1.0000e+17    1.03119590e-22     
   1.2915        3.5938e+19    1.0000e+15    7.25969781e-23     
   1.2915        3.5938e+19    1.6681e+15    7.25969781e-23     
   1.2915        3.5938e+19    2.7826e+15    7.25969781e-23     
   1.2915        3.5938e+19    4.6416e+15    7.25969781e-23     
   1.2915        3.5938e+19    7.7426e+15    7.25969781e-23     
   1.2915        3.5938e+19    1.2915e+16    7.25969781e-23     
   1.2915        3.5938e+19    2.1544e+16    7.25969781e-23     
   1.2915        3.5938e+19    3.5938e+16    7.25969781e-23     
   1.2915        3.5938e+19    5.9948e+16    7.25969781e-23     
   1.2915        3.5938e+19    1.0000e+17    7.25969781e-23     
   1.2915        5.9948e+19    1.0000e+15    4.98822299e-23     
   1.2915        5.9948e+19    1.6681e+15    4.98822299e-23     
   1.2915        5.9948e+19    2.7826e+15    4.98822299e-23     
   1.2915        5.9948e+19    4.6416e+15    4.98822299e-23     
   1.2915        5.9948e+19    7.7426e+15    4.98822299e-23     
   1.2915        5.9948e+19    1.2915e+16    4.98822299e-23     
   1.2915        5.9948e+19    2.1544e+16    4.98822299e-23     
   1.2915        5.9948e+19    3.5938e+16    4.98822299e-23     
   1.2915        5.9948e+19    5.9948e+16    4.98822299e-23     
   1.2915        5.9948e+19    1.0000e+17    4.98822299e-23     
   1.2915        1.0000e+20    1.0000e+15    3.33602073e-23     
   1.2915        1.0000e+20    1.6681e+15    3.33602073e-23     
   1.2915        1.0000e+20    2.7826e+15    3.33602073e-23     
   1.2915        1.0000e+20    4.6416e+15    3.33602073e-23     
   1.2915        1.0000e+20    7.7426e+15    3.33602073e-23     
   1.2915        1.0000e+20    1.2915e+16    3.33602073e-23     
   1.2915        1.0000e+20    2.1544e+16    3.33602073e-23     
   1.2915        1.0000e+20    3.5938e+16    3.33602073e-23     
   1.2915        1.0000e+20    5.9948e+16    3.33602073e-23     
   1.2915        1.0000e+20    1.0000e+17    3.33602073e-23     
   1.6681        1.0000e+18    1.0000e+15    3.84275792e-22     
   1.6681        1.0000e+18    1.6681e+15    3.84275792e-22     
   1.6681        1.0000e+18    2.7826e+15    3.84275792e-22     
   1.6681        1.0000e+18    4.6416e+15    3.84275792e-22     
   1.6681        1.0000e+18    7.7426e+15    3.84275792e-22     
   1.6681        1.0000e+18    1.2915e+16    3.84275792e-22     
   1.6681        1.0000e+18    2.1544e+16    3.84275792e-22     
   1.6681        1.0000e+18    3.5938e+16    3.84275792e-22     
   1.6681        1.0000e+18    5.9948e+16    3.84275792e-22     
   1.6681        1.0000e+18    1.0000e+17    3.84275792e-22     
   1.6681        1.6681e+18    1.0000e+15    3.31925092e-22     
   1.6681        1.6681e+18    1.6681e+15    3.31925092e-22     
   1.6681        1.6681e+18    2.7826e+15    3.31925092e-22     
   1.6681        1.6681e+18    4.6416e+15    3.31925092e-22     
   1.6681        1.6681e+18    7.7426e+15    3.31925092e-22     
   1.6681        1.6681e+18    1.2915e+16    3.31925092e-22     
   1.6681        1.6681e+18    2.1544e+16    3.31925092e-22     
   1.6681        1.6681e+18    3.5938e+16    3.31925092e-22     
   1.6681        1.6681e+18    5.9948e+16    3.31925092e-22     
   1.6681        1.6681e+18    1.0000e+17    3.31925092e-22     
   1.6681        2.7826e+18    1.0000e+15    2.73034424e-22     
   1.6681        2.7826e+18    1.6681e+15    2.73034424e-22     
   1.6681        2.7826e+18    2.7826e+15    2.73034424e-22     
   1.6681        2.7826e+18    4.6416e+15    2.73034424e-22     
   1.6681        2.7826e+18    7.7426e+15    2.73034424e-22     
   1.6681        2.7826e+18    1.2915e+16    2.73034424e-22     
   1.6681        2.7826e+18    2.1544e+16    2.73034424e-22     
   1.6681        2.7826e+18    3.5938e+16    2.73034424e-22     
   1.6681        2.7826e+18    5.9948e+16    2.73034424e-22     
   1.6681        2.7826e+18    1.0000e+17    2.73034424e-22     
   1.6681        4.6416e+18    1.0000e+15    2.13971486e-22     
   1.6681        4.6416e+18    1.6681e+15    2.13971486e-22     
   1.6681        4.6416e+18    2.7826e+15    2.13971486e-22     
   1.6681        4.6416e+18    4.6416e+15    2.13971486e-22     
   1.6681        4.6416e+18    7.7426e+15    2.13971486e-22     
   1.6681        4.6416e+18    1.2915e+16    2.13971486e-22     
   1.6681        4.6416e+18    2.1544e+16    2.13971486e-22     
   1.6681        4.6416e+18    3.5938e+16    2.13971486e-22     
   1.6681        4.6416e+18    5.9948e+16    2.13971486e-22     
   1.6681        4.6416e+18    1.0000e+17    2.13971486e-22     
   1.6681        7.7426e+18    1.0000e+15    1.60947129e-22     
   1.6681        7.7426e+18    1.6681e+15    1.60947129e-22     
   1.6681        7.7426e+18    2.7826e+15    1.60947129e-22     
   1.6681        7.7426e+18    4.6416e+15    1.60947129e-22     
   1.6681        7.7426e+18    7.7426e+15    1.60947129e-22     
   1.6681        7.7426e+18    1.2915e+16    1.60947129e-22     
   1.6681        7.7426e+18    2.1544e+16    1.60947129e-22     
   1.6681        7.7426e+18    3.5938e+16    1.60947129e-22     
   1.6681        7.7426e+18    5.9948e+16    1.60947129e-22     
   1.6681        7.7426e+18    1.0000e+17    1.60947129e-22     
