#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=6.dat'
#   Date of creation: 10. May 2022
#   Time of creation: 13:36:31
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(6)' coupled to the particle 'H(1)'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 20 calculated values between 1.0000 and 20.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 3 given values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_n1: 3 given values between 1.0000e+18 and 1.0000e+20

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_n1          POP_COEFF      
   1.0000        1.0000e+18    1.0000e+18    8.16232781e-29     
   1.0000        1.0000e+18    1.0000e+19    8.16232781e-29     
   1.0000        1.0000e+18    1.0000e+20    8.16232781e-29     
   1.0000        1.0000e+19    1.0000e+18    2.80981861e-29     
   1.0000        1.0000e+19    1.0000e+19    2.80981861e-29     
   1.0000        1.0000e+19    1.0000e+20    2.80981861e-29     
   1.0000        1.0000e+20    1.0000e+18    9.71061574e-30     
   1.0000        1.0000e+20    1.0000e+19    9.71061574e-30     
   1.0000        1.0000e+20    1.0000e+20    9.71061574e-30     
   1.1708        1.0000e+18    1.0000e+18    5.05364383e-28     
   1.1708        1.0000e+18    1.0000e+19    5.05364383e-28     
   1.1708        1.0000e+18    1.0000e+20    5.05364383e-28     
   1.1708        1.0000e+19    1.0000e+18    1.66196596e-28     
   1.1708        1.0000e+19    1.0000e+19    1.66196596e-28     
   1.1708        1.0000e+19    1.0000e+20    1.66196596e-28     
   1.1708        1.0000e+20    1.0000e+18    5.32790891e-29     
   1.1708        1.0000e+20    1.0000e+19    5.32790891e-29     
   1.1708        1.0000e+20    1.0000e+20    5.32790891e-29     
   1.3707        1.0000e+18    1.0000e+18    2.38846484e-27     
   1.3707        1.0000e+18    1.0000e+19    2.38846484e-27     
   1.3707        1.0000e+18    1.0000e+20    2.38846484e-27     
   1.3707        1.0000e+19    1.0000e+18    7.53728250e-28     
   1.3707        1.0000e+19    1.0000e+19    7.53728250e-28     
   1.3707        1.0000e+19    1.0000e+20    7.53728250e-28     
   1.3707        1.0000e+20    1.0000e+18    2.25747743e-28     
   1.3707        1.0000e+20    1.0000e+19    2.25747743e-28     
   1.3707        1.0000e+20    1.0000e+20    2.25747743e-28     
   1.6048        1.0000e+18    1.0000e+18    8.97787375e-27     
   1.6048        1.0000e+18    1.0000e+19    8.97787375e-27     
   1.6048        1.0000e+18    1.0000e+20    8.97787375e-27     
   1.6048        1.0000e+19    1.0000e+18    2.72989744e-27     
   1.6048        1.0000e+19    1.0000e+19    2.72989744e-27     
   1.6048        1.0000e+19    1.0000e+20    2.72989744e-27     
   1.6048        1.0000e+20    1.0000e+18    7.69535965e-28     
   1.6048        1.0000e+20    1.0000e+19    7.69535965e-28     
   1.6048        1.0000e+20    1.0000e+20    7.69535965e-28     
   1.8789        1.0000e+18    1.0000e+18    2.77929649e-26     
   1.8789        1.0000e+18    1.0000e+19    2.77929649e-26     
   1.8789        1.0000e+18    1.0000e+20    2.77929649e-26     
   1.8789        1.0000e+19    1.0000e+18    8.17454250e-27     
   1.8789        1.0000e+19    1.0000e+19    8.17454250e-27     
   1.8789        1.0000e+19    1.0000e+20    8.17454250e-27     
   1.8789        1.0000e+20    1.0000e+18    2.18476155e-27     
   1.8789        1.0000e+20    1.0000e+19    2.18476155e-27     
   1.8789        1.0000e+20    1.0000e+20    2.18476155e-27     
   2.1998        1.0000e+18    1.0000e+18    7.30066311e-26     
   2.1998        1.0000e+18    1.0000e+19    7.30066311e-26     
   2.1998        1.0000e+18    1.0000e+20    7.30066311e-26     
   2.1998        1.0000e+19    1.0000e+18    2.08442211e-26     
   2.1998        1.0000e+19    1.0000e+19    2.08442211e-26     
   2.1998        1.0000e+19    1.0000e+20    2.08442211e-26     
   2.1998        1.0000e+20    1.0000e+18    5.31918832e-27     
   2.1998        1.0000e+20    1.0000e+19    5.31918832e-27     
   2.1998        1.0000e+20    1.0000e+20    5.31918832e-27     
   2.5754        1.0000e+18    1.0000e+18    1.66891000e-25     
   2.5754        1.0000e+18    1.0000e+19    1.66891000e-25     
   2.5754        1.0000e+18    1.0000e+20    1.66891000e-25     
   2.5754        1.0000e+19    1.0000e+18    4.64042945e-26     
   2.5754        1.0000e+19    1.0000e+19    4.64042945e-26     
   2.5754        1.0000e+19    1.0000e+20    4.64042945e-26     
   2.5754        1.0000e+20    1.0000e+18    1.13818331e-26     
   2.5754        1.0000e+20    1.0000e+19    1.13818331e-26     
   2.5754        1.0000e+20    1.0000e+20    1.13818331e-26     
   3.0153        1.0000e+18    1.0000e+18    3.39212559e-25     
   3.0153        1.0000e+18    1.0000e+19    3.39212559e-25     
   3.0153        1.0000e+18    1.0000e+20    3.39212559e-25     
   3.0153        1.0000e+19    1.0000e+18    9.21217588e-26     
   3.0153        1.0000e+19    1.0000e+19    9.21217588e-26     
   3.0153        1.0000e+19    1.0000e+20    9.21217588e-26     
   3.0153        1.0000e+20    1.0000e+18    2.18500985e-26     
   3.0153        1.0000e+20    1.0000e+19    2.18500985e-26     
   3.0153        1.0000e+20    1.0000e+20    2.18500985e-26     
   3.5302        1.0000e+18    1.0000e+18    6.24227913e-25     
   3.5302        1.0000e+18    1.0000e+19    6.24227913e-25     
   3.5302        1.0000e+18    1.0000e+20    6.24227913e-25     
   3.5302        1.0000e+19    1.0000e+18    1.65999710e-25     
   3.5302        1.0000e+19    1.0000e+19    1.65999710e-25     
   3.5302        1.0000e+19    1.0000e+20    1.65999710e-25     
   3.5302        1.0000e+20    1.0000e+18    3.82843902e-26     
   3.5302        1.0000e+20    1.0000e+19    3.82843902e-26     
   3.5302        1.0000e+20    1.0000e+20    3.82843902e-26     
   4.1331        1.0000e+18    1.0000e+18    1.05601586e-24     
   4.1331        1.0000e+18    1.0000e+19    1.05601586e-24     
   4.1331        1.0000e+18    1.0000e+20    1.05601586e-24     
