#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=5.dat'
#   Date of creation: 10. May 2022
#   Time of creation: 13:36:31
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(5)' coupled to the particle 'H(1)'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 20 calculated values between 1.0000 and 20.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 3 given values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_n1: 3 given values between 1.0000e+18 and 1.0000e+20

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_n1          POP_COEFF      
   4.1331        1.0000e+19    1.0000e+19    5.68906552e-25     
   4.1331        1.0000e+19    1.0000e+20    5.68906552e-25     
   4.1331        1.0000e+20    1.0000e+18    1.32343439e-25     
   4.1331        1.0000e+20    1.0000e+19    1.32343439e-25     
   4.1331        1.0000e+20    1.0000e+20    1.32343439e-25     
   4.8390        1.0000e+18    1.0000e+18    3.01332848e-24     
   4.8390        1.0000e+18    1.0000e+19    3.01332848e-24     
   4.8390        1.0000e+18    1.0000e+20    3.01332848e-24     
   4.8390        1.0000e+19    1.0000e+18    8.71974050e-25     
   4.8390        1.0000e+19    1.0000e+19    8.71974050e-25     
   4.8390        1.0000e+19    1.0000e+20    8.71974050e-25     
   4.8390        1.0000e+20    1.0000e+18    1.99177064e-25     
   4.8390        1.0000e+20    1.0000e+19    1.99177064e-25     
   4.8390        1.0000e+20    1.0000e+20    1.99177064e-25     
   5.6654        1.0000e+18    1.0000e+18    4.41912517e-24     
   5.6654        1.0000e+18    1.0000e+19    4.41912517e-24     
   5.6654        1.0000e+18    1.0000e+20    4.41912517e-24     
   5.6654        1.0000e+19    1.0000e+18    1.26036566e-24     
   5.6654        1.0000e+19    1.0000e+19    1.26036566e-24     
   5.6654        1.0000e+19    1.0000e+20    1.26036566e-24     
   5.6654        1.0000e+20    1.0000e+18    2.83819354e-25     
   5.6654        1.0000e+20    1.0000e+19    2.83819354e-25     
   5.6654        1.0000e+20    1.0000e+20    2.83819354e-25     
   6.6329        1.0000e+18    1.0000e+18    6.15370035e-24     
   6.6329        1.0000e+18    1.0000e+19    6.15370035e-24     
   6.6329        1.0000e+18    1.0000e+20    6.15370035e-24     
   6.6329        1.0000e+19    1.0000e+18    1.73309830e-24     
   6.6329        1.0000e+19    1.0000e+19    1.73309830e-24     
   6.6329        1.0000e+19    1.0000e+20    1.73309830e-24     
   6.6329        1.0000e+20    1.0000e+18    3.86095379e-25     
   6.6329        1.0000e+20    1.0000e+19    3.86095379e-25     
   6.6329        1.0000e+20    1.0000e+20    3.86095379e-25     
   7.7657        1.0000e+18    1.0000e+18    8.19868921e-24     
   7.7657        1.0000e+18    1.0000e+19    8.19868921e-24     
   7.7657        1.0000e+18    1.0000e+20    8.19868921e-24     
   7.7657        1.0000e+19    1.0000e+18    2.28398724e-24     
   7.7657        1.0000e+19    1.0000e+19    2.28398724e-24     
   7.7657        1.0000e+19    1.0000e+20    2.28398724e-24     
   7.7657        1.0000e+20    1.0000e+18    5.04892845e-25     
   7.7657        1.0000e+20    1.0000e+19    5.04892845e-25     
   7.7657        1.0000e+20    1.0000e+20    5.04892845e-25     
   9.0919        1.0000e+18    1.0000e+18    1.05182991e-23     
   9.0919        1.0000e+18    1.0000e+19    1.05182991e-23     
   9.0919        1.0000e+18    1.0000e+20    1.05182991e-23     
   9.0919        1.0000e+19    1.0000e+18    2.90285900e-24     
   9.0919        1.0000e+19    1.0000e+19    2.90285900e-24     
   9.0919        1.0000e+19    1.0000e+20    2.90285900e-24     
   9.0919        1.0000e+20    1.0000e+18    6.38375163e-25     
   9.0919        1.0000e+20    1.0000e+19    6.38375163e-25     
   9.0919        1.0000e+20    1.0000e+20    6.38375163e-25     
   10.6446       1.0000e+18    1.0000e+18    1.30647515e-23     
   10.6446       1.0000e+18    1.0000e+19    1.30647515e-23     
   10.6446       1.0000e+18    1.0000e+20    1.30647515e-23     
   10.6446       1.0000e+19    1.0000e+18    3.57711211e-24     
   10.6446       1.0000e+19    1.0000e+19    3.57711211e-24     
   10.6446       1.0000e+19    1.0000e+20    3.57711211e-24     
   10.6446       1.0000e+20    1.0000e+18    7.84241448e-25     
