#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=4.dat'
#   Date of creation: 10. May 2022
#   Time of creation: 13:36:31
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(4)' coupled to the particle 'H(1)'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 20 calculated values between 1.0000 and 20.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 3 given values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_n1: 3 given values between 1.0000e+18 and 1.0000e+20

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_n1          POP_COEFF      
   1.0000        1.0000e+18    1.0000e+18    3.37105755e-28     
   1.0000        1.0000e+18    1.0000e+19    3.37105755e-28     
   1.0000        1.0000e+18    1.0000e+20    3.37105755e-28     
   1.0000        1.0000e+19    1.0000e+18    1.86352318e-28     
   1.0000        1.0000e+19    1.0000e+19    1.86352318e-28     
   1.0000        1.0000e+19    1.0000e+20    1.86352318e-28     
   1.0000        1.0000e+20    1.0000e+18    7.31036941e-29     
   1.0000        1.0000e+20    1.0000e+19    7.31036941e-29     
   1.0000        1.0000e+20    1.0000e+20    7.31036941e-29     
   1.1708        1.0000e+18    1.0000e+18    2.01876540e-27     
   1.1708        1.0000e+18    1.0000e+19    2.01876540e-27     
   1.1708        1.0000e+18    1.0000e+20    2.01876540e-27     
   1.1708        1.0000e+19    1.0000e+18    1.05666047e-27     
   1.1708        1.0000e+19    1.0000e+19    1.05666047e-27     
   1.1708        1.0000e+19    1.0000e+20    1.05666047e-27     
   1.1708        1.0000e+20    1.0000e+18    3.83549215e-28     
   1.1708        1.0000e+20    1.0000e+19    3.83549215e-28     
   1.1708        1.0000e+20    1.0000e+20    3.83549215e-28     
   1.3707        1.0000e+18    1.0000e+18    9.26105374e-27     
   1.3707        1.0000e+18    1.0000e+19    9.26105374e-27     
   1.3707        1.0000e+18    1.0000e+20    9.26105374e-27     
   1.3707        1.0000e+19    1.0000e+18    4.60903392e-27     
   1.3707        1.0000e+19    1.0000e+19    4.60903392e-27     
   1.3707        1.0000e+19    1.0000e+20    4.60903392e-27     
   1.3707        1.0000e+20    1.0000e+18    1.55912427e-27     
   1.3707        1.0000e+20    1.0000e+19    1.55912427e-27     
   1.3707        1.0000e+20    1.0000e+20    1.55912427e-27     
   1.6048        1.0000e+18    1.0000e+18    3.38743809e-26     
   1.6048        1.0000e+18    1.0000e+19    3.38743809e-26     
   1.6048        1.0000e+18    1.0000e+20    3.38743809e-26     
   1.6048        1.0000e+19    1.0000e+18    1.60997600e-26     
   1.6048        1.0000e+19    1.0000e+19    1.60997600e-26     
   1.6048        1.0000e+19    1.0000e+20    1.60997600e-26     
   1.6048        1.0000e+20    1.0000e+18    5.11365991e-27     
   1.6048        1.0000e+20    1.0000e+19    5.11365991e-27     
   1.6048        1.0000e+20    1.0000e+20    5.11365991e-27     
   1.8789        1.0000e+18    1.0000e+18    1.02221968e-25     
   1.8789        1.0000e+18    1.0000e+19    1.02221968e-25     
   1.8789        1.0000e+18    1.0000e+20    1.02221968e-25     
   1.8789        1.0000e+19    1.0000e+18    4.66044882e-26     
