#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=2.dat'
#   Date of creation: 10. May 2022
#   Time of creation: 13:36:31
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(2)' coupled to the particle 'H(1)'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 20 calculated values between 1.0000 and 20.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 3 given values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_n1: 3 given values between 1.0000e+18 and 1.0000e+20

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_n1          POP_COEFF      
   1.0000        1.0000e+18    1.0000e+18    2.66127055e-27     
   1.0000        1.0000e+18    1.0000e+19    2.66127055e-27     
   1.0000        1.0000e+18    1.0000e+20    2.66127055e-27     
   1.0000        1.0000e+19    1.0000e+18    2.64740992e-27     
   1.0000        1.0000e+19    1.0000e+19    2.64740992e-27     
   1.0000        1.0000e+19    1.0000e+20    2.64740992e-27     
   1.0000        1.0000e+20    1.0000e+18    2.57642845e-27     
   1.0000        1.0000e+20    1.0000e+19    2.57642845e-27     
   1.0000        1.0000e+20    1.0000e+20    2.57642845e-27     
   1.1708        1.0000e+18    1.0000e+18    1.14446296e-26     
   1.1708        1.0000e+18    1.0000e+19    1.14446296e-26     
   1.1708        1.0000e+18    1.0000e+20    1.14446296e-26     
   1.1708        1.0000e+19    1.0000e+18    1.13559050e-26     
   1.1708        1.0000e+19    1.0000e+19    1.13559050e-26     
   1.1708        1.0000e+19    1.0000e+20    1.13559050e-26     
   1.1708        1.0000e+20    1.0000e+18    1.09375439e-26     
   1.1708        1.0000e+20    1.0000e+19    1.09375439e-26     
   1.1708        1.0000e+20    1.0000e+20    1.09375439e-26     
   1.3707        1.0000e+18    1.0000e+18    3.97060821e-26     
   1.3707        1.0000e+18    1.0000e+19    3.97060821e-26     
   1.3707        1.0000e+18    1.0000e+20    3.97060821e-26     
   1.3707        1.0000e+19    1.0000e+18    3.92726250e-26     
   1.3707        1.0000e+19    1.0000e+19    3.92726250e-26     
   1.3707        1.0000e+19    1.0000e+20    3.92726250e-26     
   1.3707        1.0000e+20    1.0000e+18    3.73732827e-26     
   1.3707        1.0000e+20    1.0000e+19    3.73732827e-26     
   1.3707        1.0000e+20    1.0000e+20    3.73732827e-26     
   1.6048        1.0000e+18    1.0000e+18    1.14751286e-25     
   1.6048        1.0000e+18    1.0000e+19    1.14751286e-25     
   1.6048        1.0000e+18    1.0000e+20    1.14751286e-25     
   1.6048        1.0000e+19    1.0000e+18    1.13071470e-25     
   1.6048        1.0000e+19    1.0000e+19    1.13071470e-25     
   1.6048        1.0000e+19    1.0000e+20    1.13071470e-25     
   1.6048        1.0000e+20    1.0000e+18    1.06168822e-25     
   1.6048        1.0000e+20    1.0000e+19    1.06168822e-25     
   1.6048        1.0000e+20    1.0000e+20    1.06168822e-25     
   1.8789        1.0000e+18    1.0000e+18    2.83955092e-25     
   1.8789        1.0000e+18    1.0000e+19    2.83955092e-25     
   1.8789        1.0000e+18    1.0000e+20    2.83955092e-25     
   1.8789        1.0000e+19    1.0000e+18    2.78614097e-25     
   1.8789        1.0000e+19    1.0000e+19    2.78614097e-25     
   1.8789        1.0000e+19    1.0000e+20    2.78614097e-25     
   1.8789        1.0000e+20    1.0000e+18    2.57848045e-25     
   1.8789        1.0000e+20    1.0000e+19    2.57848045e-25     
   1.8789        1.0000e+20    1.0000e+20    2.57848045e-25     
   2.1998        1.0000e+18    1.0000e+18    6.16023351e-25     
   2.1998        1.0000e+18    1.0000e+19    6.16023351e-25     
   2.1998        1.0000e+18    1.0000e+20    6.16023351e-25     
   2.1998        1.0000e+19    1.0000e+18    6.01679623e-25     
   2.1998        1.0000e+19    1.0000e+19    6.01679623e-25     
   2.1998        1.0000e+19    1.0000e+20    6.01679623e-25     
   2.1998        1.0000e+20    1.0000e+18    5.48454710e-25     
   2.1998        1.0000e+20    1.0000e+19    5.48454710e-25     
   2.1998        1.0000e+20    1.0000e+20    5.48454710e-25     
   2.5754        1.0000e+18    1.0000e+18    1.19549088e-24     
   2.5754        1.0000e+18    1.0000e+19    1.19549088e-24     
   2.5754        1.0000e+18    1.0000e+20    1.19549088e-24     
   2.5754        1.0000e+19    1.0000e+18    1.16213506e-24     
   2.5754        1.0000e+19    1.0000e+19    1.16213506e-24     
   2.5754        1.0000e+19    1.0000e+20    1.16213506e-24     
   2.5754        1.0000e+20    1.0000e+18    1.04304293e-24     
   2.5754        1.0000e+20    1.0000e+19    1.04304293e-24     
   2.5754        1.0000e+20    1.0000e+20    1.04304293e-24     
   3.0153        1.0000e+18    1.0000e+18    2.11126989e-24     
   3.0153        1.0000e+18    1.0000e+19    2.11126989e-24     
   3.0153        1.0000e+18    1.0000e+20    2.11126989e-24     
   3.0153        1.0000e+19    1.0000e+18    2.04266662e-24     
   3.0153        1.0000e+19    1.0000e+19    2.04266662e-24     
   3.0153        1.0000e+19    1.0000e+20    2.04266662e-24     
   3.0153        1.0000e+20    1.0000e+18    1.80520380e-24     
   3.0153        1.0000e+20    1.0000e+19    1.80520380e-24     
   3.0153        1.0000e+20    1.0000e+20    1.80520380e-24     
   3.5302        1.0000e+18    1.0000e+18    3.44233023e-24     
   3.5302        1.0000e+18    1.0000e+19    3.44233023e-24     
   3.5302        1.0000e+18    1.0000e+20    3.44233023e-24     
   3.5302        1.0000e+19    1.0000e+18    3.31528953e-24     
   3.5302        1.0000e+19    1.0000e+19    3.31528953e-24     
   3.5302        1.0000e+19    1.0000e+20    3.31528953e-24     
   3.5302        1.0000e+20    1.0000e+18    2.88601968e-24     
   3.5302        1.0000e+20    1.0000e+19    2.88601968e-24     
   3.5302        1.0000e+20    1.0000e+20    2.88601968e-24     
   4.1331        1.0000e+18    1.0000e+18    5.24497733e-24     
   4.1331        1.0000e+18    1.0000e+19    5.24497733e-24     
   4.1331        1.0000e+18    1.0000e+20    5.24497733e-24     
   4.1331        1.0000e+19    1.0000e+18    5.02993062e-24     
   4.1331        1.0000e+19    1.0000e+19    5.02993062e-24     
   4.1331        1.0000e+19    1.0000e+20    5.02993062e-24     
   4.1331        1.0000e+20    1.0000e+18    4.31614834e-24     
   4.1331        1.0000e+20    1.0000e+19    4.31614834e-24     
   4.1331        1.0000e+20    1.0000e+20    4.31614834e-24     
   4.8390        1.0000e+18    1.0000e+18    7.54433950e-24     
   4.8390        1.0000e+18    1.0000e+19    7.54433950e-24     
   4.8390        1.0000e+18    1.0000e+20    7.54433950e-24     
   4.8390        1.0000e+19    1.0000e+18    7.20731816e-24     
   4.8390        1.0000e+19    1.0000e+19    7.20731816e-24     
   4.8390        1.0000e+19    1.0000e+20    7.20731816e-24     
   4.8390        1.0000e+20    1.0000e+18    6.10233084e-24     
   4.8390        1.0000e+20    1.0000e+19    6.10233084e-24     
   4.8390        1.0000e+20    1.0000e+20    6.10233084e-24     
   5.6654        1.0000e+18    1.0000e+18    1.03312681e-23     
   5.6654        1.0000e+18    1.0000e+19    1.03312681e-23     
   5.6654        1.0000e+18    1.0000e+20    1.03312681e-23     
   5.6654        1.0000e+19    1.0000e+18    9.83695326e-24     
   5.6654        1.0000e+19    1.0000e+19    9.83695326e-24     
   5.6654        1.0000e+19    1.0000e+20    9.83695326e-24     
   5.6654        1.0000e+20    1.0000e+18    8.22814328e-24     
   5.6654        1.0000e+20    1.0000e+19    8.22814328e-24     
   5.6654        1.0000e+20    1.0000e+20    8.22814328e-24     
   6.6329        1.0000e+18    1.0000e+18    1.35640984e-23     
   6.6329        1.0000e+18    1.0000e+19    1.35640984e-23     
   6.6329        1.0000e+18    1.0000e+20    1.35640984e-23     
   6.6329        1.0000e+19    1.0000e+18    1.28793296e-23     
   6.6329        1.0000e+19    1.0000e+19    1.28793296e-23     
   6.6329        1.0000e+19    1.0000e+20    1.28793296e-23     
   6.6329        1.0000e+20    1.0000e+18    1.06575795e-23     
   6.6329        1.0000e+20    1.0000e+19    1.06575795e-23     
   6.6329        1.0000e+20    1.0000e+20    1.06575795e-23     
   7.7657        1.0000e+18    1.0000e+18    1.71738817e-23     
   7.7657        1.0000e+18    1.0000e+19    1.71738817e-23     
   7.7657        1.0000e+18    1.0000e+20    1.71738817e-23     
   7.7657        1.0000e+19    1.0000e+18    1.62709284e-23     
   7.7657        1.0000e+19    1.0000e+19    1.62709284e-23     
   7.7657        1.0000e+19    1.0000e+20    1.62709284e-23     
   7.7657        1.0000e+20    1.0000e+18    1.33398749e-23     
   7.7657        1.0000e+20    1.0000e+19    1.33398749e-23     
   7.7657        1.0000e+20    1.0000e+20    1.33398749e-23     
   9.0919        1.0000e+18    1.0000e+18    2.10713775e-23     
   9.0919        1.0000e+18    1.0000e+19    2.10713775e-23     
   9.0919        1.0000e+18    1.0000e+20    2.10713775e-23     
   9.0919        1.0000e+19    1.0000e+18    1.99304289e-23     
   9.0919        1.0000e+19    1.0000e+19    1.99304289e-23     
   9.0919        1.0000e+19    1.0000e+20    1.99304289e-23     
   9.0919        1.0000e+20    1.0000e+18    1.62143068e-23     
   9.0919        1.0000e+20    1.0000e+19    1.62143068e-23     
   9.0919        1.0000e+20    1.0000e+20    1.62143068e-23     
   10.6446       1.0000e+18    1.0000e+18    2.51548695e-23     
   10.6446       1.0000e+18    1.0000e+19    2.51548695e-23     
   10.6446       1.0000e+18    1.0000e+20    2.51548695e-23     
   10.6446       1.0000e+19    1.0000e+18    2.37654330e-23     
   10.6446       1.0000e+19    1.0000e+19    2.37654330e-23     
   10.6446       1.0000e+19    1.0000e+20    2.37654330e-23     
   10.6446       1.0000e+20    1.0000e+18    1.92146585e-23     
   10.6446       1.0000e+20    1.0000e+19    1.92146585e-23     
   10.6446       1.0000e+20    1.0000e+20    1.92146585e-23     
   12.4625       1.0000e+18    1.0000e+18    2.93176827e-23     
   12.4625       1.0000e+18    1.0000e+19    2.93176827e-23     
   12.4625       1.0000e+18    1.0000e+20    2.93176827e-23     
   12.4625       1.0000e+19    1.0000e+18    2.76788537e-23     
   12.4625       1.0000e+19    1.0000e+19    2.76788537e-23     
   12.4625       1.0000e+19    1.0000e+20    2.76788537e-23     
   12.4625       1.0000e+20    1.0000e+18    2.22729940e-23     
   12.4625       1.0000e+20    1.0000e+19    2.22729940e-23     
   12.4625       1.0000e+20    1.0000e+20    2.22729940e-23     
   14.5908       1.0000e+18    1.0000e+18    3.34544702e-23     
   14.5908       1.0000e+18    1.0000e+19    3.34544702e-23     
   14.5908       1.0000e+18    1.0000e+20    3.34544702e-23     
   14.5908       1.0000e+19    1.0000e+18    3.15742727e-23     
   14.5908       1.0000e+19    1.0000e+19    3.15742727e-23     
   14.5908       1.0000e+19    1.0000e+20    3.15742727e-23     
   14.5908       1.0000e+20    1.0000e+18    2.53225328e-23     
   14.5908       1.0000e+20    1.0000e+19    2.53225328e-23     
   14.5908       1.0000e+20    1.0000e+20    2.53225328e-23     
   17.0826       1.0000e+18    1.0000e+18    3.74667481e-23     
   17.0826       1.0000e+18    1.0000e+19    3.74667481e-23     
   17.0826       1.0000e+18    1.0000e+20    3.74667481e-23     
   17.0826       1.0000e+19    1.0000e+18    3.53608649e-23     
   17.0826       1.0000e+19    1.0000e+19    3.53608649e-23     
   17.0826       1.0000e+19    1.0000e+20    3.53608649e-23     
   17.0826       1.0000e+20    1.0000e+18    2.83004106e-23     
   17.0826       1.0000e+20    1.0000e+19    2.83004106e-23     
   17.0826       1.0000e+20    1.0000e+20    2.83004106e-23     
   20.0000       1.0000e+18    1.0000e+18    4.12662124e-23     
   20.0000       1.0000e+18    1.0000e+19    4.12662124e-23     
   20.0000       1.0000e+18    1.0000e+20    4.12662124e-23     
   20.0000       1.0000e+19    1.0000e+18    3.89565377e-23     
   20.0000       1.0000e+19    1.0000e+19    3.89565377e-23     
   20.0000       1.0000e+19    1.0000e+20    3.89565377e-23     
   20.0000       1.0000e+20    1.0000e+18    3.11493776e-23     
   20.0000       1.0000e+20    1.0000e+19    3.11493776e-23     
   20.0000       1.0000e+20    1.0000e+20    3.11493776e-23     
