#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=3.dat'
#   Date of creation: 10. May 2022
#   Time of creation: 13:36:31
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(3)' coupled to the particle 'H(1)'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 20 calculated values between 1.0000 and 20.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 3 given values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_n1: 3 given values between 1.0000e+18 and 1.0000e+20

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_n1          POP_COEFF      
   1.0000        1.0000e+18    1.0000e+18    7.10995170e-28     
   1.0000        1.0000e+18    1.0000e+19    7.10995170e-28     
   1.0000        1.0000e+18    1.0000e+20    7.10995170e-28     
   1.0000        1.0000e+19    1.0000e+18    6.28335256e-28     
   1.0000        1.0000e+19    1.0000e+19    6.28335256e-28     
   1.0000        1.0000e+19    1.0000e+20    6.28335256e-28     
   1.0000        1.0000e+20    1.0000e+18    3.47676902e-28     
   1.0000        1.0000e+20    1.0000e+19    3.47676902e-28     
   1.0000        1.0000e+20    1.0000e+20    3.47676902e-28     
   1.1708        1.0000e+18    1.0000e+18    3.92784454e-27     
   1.1708        1.0000e+18    1.0000e+19    3.92784454e-27     
   1.1708        1.0000e+18    1.0000e+20    3.92784454e-27     
   1.1708        1.0000e+19    1.0000e+18    3.38769651e-27     
   1.1708        1.0000e+19    1.0000e+19    3.38769651e-27     
   1.1708        1.0000e+19    1.0000e+20    3.38769651e-27     
   1.1708        1.0000e+20    1.0000e+18    1.73059051e-27     
   1.1708        1.0000e+20    1.0000e+19    1.73059051e-27     
   1.1708        1.0000e+20    1.0000e+20    1.73059051e-27     
   1.3707        1.0000e+18    1.0000e+18    1.68352075e-26     
   1.3707        1.0000e+18    1.0000e+19    1.68352075e-26     
   1.3707        1.0000e+18    1.0000e+20    1.68352075e-26     
   1.3707        1.0000e+19    1.0000e+18    1.41592250e-26     
   1.3707        1.0000e+19    1.0000e+19    1.41592250e-26     
   1.3707        1.0000e+19    1.0000e+20    1.41592250e-26     
   1.3707        1.0000e+20    1.0000e+18    6.70775996e-27     
   1.3707        1.0000e+20    1.0000e+19    6.70775996e-27     
   1.3707        1.0000e+20    1.0000e+20    6.70775996e-27     
   1.6048        1.0000e+18    1.0000e+18    5.81391384e-26     
   1.6048        1.0000e+18    1.0000e+19    5.81391384e-26     
   1.6048        1.0000e+18    1.0000e+20    5.81391384e-26     
   1.6048        1.0000e+19    1.0000e+18    4.76719009e-26     
   1.6048        1.0000e+19    1.0000e+19    4.76719009e-26     
   1.6048        1.0000e+19    1.0000e+20    4.76719009e-26     
