#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=7.dat'
#   Date of creation: 10. May 2022
#   Time of creation: 13:36:31
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(7)' coupled to the particle 'H(1)'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 20 calculated values between 1.0000 and 20.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 3 given values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_n1: 3 given values between 1.0000e+18 and 1.0000e+20

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_n1          POP_COEFF      
   1.0000        1.0000e+18    1.0000e+18    4.36439527e-29     
   1.0000        1.0000e+18    1.0000e+19    4.36439527e-29     
   1.0000        1.0000e+18    1.0000e+20    4.36439527e-29     
   1.0000        1.0000e+19    1.0000e+18    1.40720171e-29     
   1.0000        1.0000e+19    1.0000e+19    1.40720171e-29     
   1.0000        1.0000e+19    1.0000e+20    1.40720171e-29     
   1.0000        1.0000e+20    1.0000e+18    4.78746936e-30     
   1.0000        1.0000e+20    1.0000e+19    4.78746936e-30     
   1.0000        1.0000e+20    1.0000e+20    4.78746936e-30     
   1.1708        1.0000e+18    1.0000e+18    2.72936512e-28     
   1.1708        1.0000e+18    1.0000e+19    2.72936512e-28     
   1.1708        1.0000e+18    1.0000e+20    2.72936512e-28     
   1.1708        1.0000e+19    1.0000e+18    8.42159661e-29     
   1.1708        1.0000e+19    1.0000e+19    8.42159661e-29     
   1.1708        1.0000e+19    1.0000e+20    8.42159661e-29     
   1.1708        1.0000e+20    1.0000e+18    2.65810808e-29     
   1.1708        1.0000e+20    1.0000e+19    2.65810808e-29     
   1.1708        1.0000e+20    1.0000e+20    2.65810808e-29     
   1.3707        1.0000e+18    1.0000e+18    1.30220248e-27     
   1.3707        1.0000e+18    1.0000e+19    1.30220248e-27     
   1.3707        1.0000e+18    1.0000e+20    1.30220248e-27     
   1.3707        1.0000e+19    1.0000e+18    3.86146692e-28     
   1.3707        1.0000e+19    1.0000e+19    3.86146692e-28     
   1.3707        1.0000e+19    1.0000e+20    3.86146692e-28     
   1.3707        1.0000e+20    1.0000e+18    1.13884900e-28     
   1.3707        1.0000e+20    1.0000e+19    1.13884900e-28     
   1.3707        1.0000e+20    1.0000e+20    1.13884900e-28     
   1.6048        1.0000e+18    1.0000e+18    4.93899933e-27     
   1.6048        1.0000e+18    1.0000e+19    4.93899933e-27     
   1.6048        1.0000e+18    1.0000e+20    4.93899933e-27     
   1.6048        1.0000e+19    1.0000e+18    1.41306616e-27     
   1.6048        1.0000e+19    1.0000e+19    1.41306616e-27     
   1.6048        1.0000e+19    1.0000e+20    1.41306616e-27     
   1.6048        1.0000e+20    1.0000e+18    3.92287726e-28     
   1.6048        1.0000e+20    1.0000e+19    3.92287726e-28     
   1.6048        1.0000e+20    1.0000e+20    3.92287726e-28     
   1.8789        1.0000e+18    1.0000e+18    1.54222665e-26     
   1.8789        1.0000e+18    1.0000e+19    1.54222665e-26     
   1.8789        1.0000e+18    1.0000e+20    1.54222665e-26     
   1.8789        1.0000e+19    1.0000e+18    4.27274430e-27     
   1.8789        1.0000e+19    1.0000e+19    4.27274430e-27     
   1.8789        1.0000e+19    1.0000e+20    4.27274430e-27     
   1.8789        1.0000e+20    1.0000e+18    1.12472960e-27     
   1.8789        1.0000e+20    1.0000e+19    1.12472960e-27     
   1.8789        1.0000e+20    1.0000e+20    1.12472960e-27     
   2.1998        1.0000e+18    1.0000e+18    4.08507301e-26     
   2.1998        1.0000e+18    1.0000e+19    4.08507301e-26     
   2.1998        1.0000e+18    1.0000e+20    4.08507301e-26     
   2.1998        1.0000e+19    1.0000e+18    1.09960235e-26     
   2.1998        1.0000e+19    1.0000e+19    1.09960235e-26     
   2.1998        1.0000e+19    1.0000e+20    1.09960235e-26     
   2.1998        1.0000e+20    1.0000e+18    2.76386648e-27     
   2.1998        1.0000e+20    1.0000e+19    2.76386648e-27     
   2.1998        1.0000e+20    1.0000e+20    2.76386648e-27     
   2.5754        1.0000e+18    1.0000e+18    9.41453950e-26     
   2.5754        1.0000e+18    1.0000e+19    9.41453950e-26     
   2.5754        1.0000e+18    1.0000e+20    9.41453950e-26     
   2.5754        1.0000e+19    1.0000e+18    2.46955807e-26     
   2.5754        1.0000e+19    1.0000e+19    2.46955807e-26     
   2.5754        1.0000e+19    1.0000e+20    2.46955807e-26     
   2.5754        1.0000e+20    1.0000e+18    5.96609878e-27     
   2.5754        1.0000e+20    1.0000e+19    5.96609878e-27     
   2.5754        1.0000e+20    1.0000e+20    5.96609878e-27     
   3.0153        1.0000e+18    1.0000e+18    1.92884124e-25     
   3.0153        1.0000e+18    1.0000e+19    1.92884124e-25     
   3.0153        1.0000e+18    1.0000e+20    1.92884124e-25     
   3.0153        1.0000e+19    1.0000e+18    4.94380359e-26     
   3.0153        1.0000e+19    1.0000e+19    4.94380359e-26     
   3.0153        1.0000e+19    1.0000e+20    4.94380359e-26     
   3.0153        1.0000e+20    1.0000e+18    1.15487187e-26     
   3.0153        1.0000e+20    1.0000e+19    1.15487187e-26     
   3.0153        1.0000e+20    1.0000e+20    1.15487187e-26     
   3.5302        1.0000e+18    1.0000e+18    3.57750103e-25     
   3.5302        1.0000e+18    1.0000e+19    3.57750103e-25     
   3.5302        1.0000e+18    1.0000e+20    3.57750103e-25     
   3.5302        1.0000e+19    1.0000e+18    8.98031525e-26     
   3.5302        1.0000e+19    1.0000e+19    8.98031525e-26     
   3.5302        1.0000e+19    1.0000e+20    8.98031525e-26     
   3.5302        1.0000e+20    1.0000e+18    2.03945844e-26     
   3.5302        1.0000e+20    1.0000e+19    2.03945844e-26     
   3.5302        1.0000e+20    1.0000e+20    2.03945844e-26     
   4.1331        1.0000e+18    1.0000e+18    6.09947281e-25     
   4.1331        1.0000e+18    1.0000e+19    6.09947281e-25     
   4.1331        1.0000e+18    1.0000e+20    6.09947281e-25     
   4.1331        1.0000e+19    1.0000e+18    1.50247468e-25     
   4.1331        1.0000e+19    1.0000e+19    1.50247468e-25     
   4.1331        1.0000e+19    1.0000e+20    1.50247468e-25     
   4.1331        1.0000e+20    1.0000e+18    3.33326515e-26     
   4.1331        1.0000e+20    1.0000e+19    3.33326515e-26     
