#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=7.dat'
#   Date of creation: 11. May 2022
#   Time of creation: 07:58:44
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(7)' coupled to the particle 'H2'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 10 calculated values between 1.0000 and 10.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 10 calculated values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_n2: 10 calculated values between 1.0000e+18 and 1.0000e+20

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_n2          POP_COEFF      
   1.2915        4.6416e+18    3.5938e+19    2.80741237e-31     
   1.2915        4.6416e+18    5.9948e+19    2.80741237e-31     
   1.2915        4.6416e+18    1.0000e+20    2.80741237e-31     
   1.2915        7.7426e+18    1.0000e+18    2.26827437e-31     
   1.2915        7.7426e+18    1.6681e+18    2.26827437e-31     
   1.2915        7.7426e+18    2.7826e+18    2.26827437e-31     
   1.2915        7.7426e+18    4.6416e+18    2.26827437e-31     
   1.2915        7.7426e+18    7.7426e+18    2.26827437e-31     
   1.2915        7.7426e+18    1.2915e+19    2.26827437e-31     
   1.2915        7.7426e+18    2.1544e+19    2.26827437e-31     
   1.2915        7.7426e+18    3.5938e+19    2.26827437e-31     
   1.2915        7.7426e+18    5.9948e+19    2.26827437e-31     
   1.2915        7.7426e+18    1.0000e+20    2.26827437e-31     
   1.2915        1.2915e+19    1.0000e+18    1.83482199e-31     
   1.2915        1.2915e+19    1.6681e+18    1.83482199e-31     
   1.2915        1.2915e+19    2.7826e+18    1.83482199e-31     
   1.2915        1.2915e+19    4.6416e+18    1.83482199e-31     
   1.2915        1.2915e+19    7.7426e+18    1.83482199e-31     
   1.2915        1.2915e+19    1.2915e+19    1.83482199e-31     
   1.2915        1.2915e+19    2.1544e+19    1.83482199e-31     
   1.2915        1.2915e+19    3.5938e+19    1.83482199e-31     
   1.2915        1.2915e+19    5.9948e+19    1.83482199e-31     
   1.2915        1.2915e+19    1.0000e+20    1.83482199e-31     
   1.2915        2.1544e+19    1.0000e+18    1.48198361e-31     
   1.2915        2.1544e+19    1.6681e+18    1.48198361e-31     
   1.2915        2.1544e+19    2.7826e+18    1.48198361e-31     
   1.2915        2.1544e+19    4.6416e+18    1.48198361e-31     
   1.2915        2.1544e+19    7.7426e+18    1.48198361e-31     
   1.2915        2.1544e+19    1.2915e+19    1.48198361e-31     
   1.2915        2.1544e+19    2.1544e+19    1.48198361e-31     
   1.2915        2.1544e+19    3.5938e+19    1.48198361e-31     
   1.2915        2.1544e+19    5.9948e+19    1.48198361e-31     
   1.2915        2.1544e+19    1.0000e+20    1.48198361e-31     
   1.2915        3.5938e+19    1.0000e+18    1.18889702e-31     
   1.2915        3.5938e+19    1.6681e+18    1.18889702e-31     
   1.2915        3.5938e+19    2.7826e+18    1.18889702e-31     
   1.2915        3.5938e+19    4.6416e+18    1.18889702e-31     
   1.2915        3.5938e+19    7.7426e+18    1.18889702e-31     
   1.2915        3.5938e+19    1.2915e+19    1.18889702e-31     
   1.2915        3.5938e+19    2.1544e+19    1.18889702e-31     
   1.2915        3.5938e+19    3.5938e+19    1.18889702e-31     
   1.2915        3.5938e+19    5.9948e+19    1.18889702e-31     
   1.2915        3.5938e+19    1.0000e+20    1.18889702e-31     
   1.2915        5.9948e+19    1.0000e+18    9.44825572e-32     
   1.2915        5.9948e+19    1.6681e+18    9.44825572e-32     
   1.2915        5.9948e+19    2.7826e+18    9.44825572e-32     
   1.2915        5.9948e+19    4.6416e+18    9.44825572e-32     
   1.2915        5.9948e+19    7.7426e+18    9.44825572e-32     
   1.2915        5.9948e+19    1.2915e+19    9.44825572e-32     
   1.2915        5.9948e+19    2.1544e+19    9.44825572e-32     
   1.2915        5.9948e+19    3.5938e+19    9.44825572e-32     
   1.2915        5.9948e+19    5.9948e+19    9.44825572e-32     
   1.2915        5.9948e+19    1.0000e+20    9.44825572e-32     
   1.2915        1.0000e+20    1.0000e+18    7.47176559e-32     
   1.2915        1.0000e+20    1.6681e+18    7.47176559e-32     
   1.2915        1.0000e+20    2.7826e+18    7.47176559e-32     
   1.2915        1.0000e+20    4.6416e+18    7.47176559e-32     
   1.2915        1.0000e+20    7.7426e+18    7.47176559e-32     
   1.2915        1.0000e+20    1.2915e+19    7.47176559e-32     
   1.2915        1.0000e+20    2.1544e+19    7.47176559e-32     
   1.2915        1.0000e+20    3.5938e+19    7.47176559e-32     
   1.2915        1.0000e+20    5.9948e+19    7.47176559e-32     
   1.2915        1.0000e+20    1.0000e+20    7.47176559e-32     
   1.6681        1.0000e+18    1.0000e+18    1.07996557e-29     
   1.6681        1.0000e+18    1.6681e+18    1.07996557e-29     
   1.6681        1.0000e+18    2.7826e+18    1.07996557e-29     
