#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=3.dat'
#   Date of creation: 11. May 2022
#   Time of creation: 07:58:44
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(3)' coupled to the particle 'H2'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 10 calculated values between 1.0000 and 10.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 10 calculated values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_n2: 10 calculated values between 1.0000e+18 and 1.0000e+20

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_n2          POP_COEFF      
   1.0000        1.0000e+18    1.0000e+18    1.96106380e-31     
   1.0000        1.0000e+18    1.6681e+18    1.96106380e-31     
   1.0000        1.0000e+18    2.7826e+18    1.96106380e-31     
   1.0000        1.0000e+18    4.6416e+18    1.96106380e-31     
   1.0000        1.0000e+18    7.7426e+18    1.96106380e-31     
   1.0000        1.0000e+18    1.2915e+19    1.96106380e-31     
   1.0000        1.0000e+18    2.1544e+19    1.96106380e-31     
   1.0000        1.0000e+18    3.5938e+19    1.96106380e-31     
   1.0000        1.0000e+18    5.9948e+19    1.96106380e-31     
   1.0000        1.0000e+18    1.0000e+20    1.96106380e-31     
   1.0000        1.6681e+18    1.0000e+18    1.93947600e-31     
   1.0000        1.6681e+18    1.6681e+18    1.93947600e-31     
   1.0000        1.6681e+18    2.7826e+18    1.93947600e-31     
   1.0000        1.6681e+18    4.6416e+18    1.93947600e-31     
   1.0000        1.6681e+18    7.7426e+18    1.93947600e-31     
   1.0000        1.6681e+18    1.2915e+19    1.93947600e-31     
   1.0000        1.6681e+18    2.1544e+19    1.93947600e-31     
   1.0000        1.6681e+18    3.5938e+19    1.93947600e-31     
   1.0000        1.6681e+18    5.9948e+19    1.93947600e-31     
   1.0000        1.6681e+18    1.0000e+20    1.93947600e-31     
   1.0000        2.7826e+18    1.0000e+18    1.90683836e-31     
   1.0000        2.7826e+18    1.6681e+18    1.90683836e-31     
   1.0000        2.7826e+18    2.7826e+18    1.90683836e-31     
   1.0000        2.7826e+18    4.6416e+18    1.90683836e-31     
   1.0000        2.7826e+18    7.7426e+18    1.90683836e-31     
   1.0000        2.7826e+18    1.2915e+19    1.90683836e-31     
   1.0000        2.7826e+18    2.1544e+19    1.90683836e-31     
   1.0000        2.7826e+18    3.5938e+19    1.90683836e-31     
   1.0000        2.7826e+18    5.9948e+19    1.90683836e-31     
   1.0000        2.7826e+18    1.0000e+20    1.90683836e-31     
   1.0000        4.6416e+18    1.0000e+18    1.85771574e-31     
   1.0000        4.6416e+18    1.6681e+18    1.85771574e-31     
   1.0000        4.6416e+18    2.7826e+18    1.85771574e-31     
   1.0000        4.6416e+18    4.6416e+18    1.85771574e-31     
   1.0000        4.6416e+18    7.7426e+18    1.85771574e-31     
   1.0000        4.6416e+18    1.2915e+19    1.85771574e-31     
   1.0000        4.6416e+18    2.1544e+19    1.85771574e-31     
   1.0000        4.6416e+18    3.5938e+19    1.85771574e-31     
   1.0000        4.6416e+18    5.9948e+19    1.85771574e-31     
   1.0000        4.6416e+18    1.0000e+20    1.85771574e-31     
   1.0000        7.7426e+18    1.0000e+18    1.78496092e-31     
   1.0000        7.7426e+18    1.6681e+18    1.78496092e-31     
   1.0000        7.7426e+18    2.7826e+18    1.78496092e-31     
   1.0000        7.7426e+18    4.6416e+18    1.78496092e-31     
   1.0000        7.7426e+18    7.7426e+18    1.78496092e-31     
   1.0000        7.7426e+18    1.2915e+19    1.78496092e-31     
   1.0000        7.7426e+18    2.1544e+19    1.78496092e-31     
   1.0000        7.7426e+18    3.5938e+19    1.78496092e-31     
   1.0000        7.7426e+18    5.9948e+19    1.78496092e-31     
   1.0000        7.7426e+18    1.0000e+20    1.78496092e-31     
   1.0000        1.2915e+19    1.0000e+18    1.68067797e-31     
   1.0000        1.2915e+19    1.6681e+18    1.68067797e-31     
   1.0000        1.2915e+19    2.7826e+18    1.68067797e-31     
   1.0000        1.2915e+19    4.6416e+18    1.68067797e-31     
   1.0000        1.2915e+19    7.7426e+18    1.68067797e-31     
   1.0000        1.2915e+19    1.2915e+19    1.68067797e-31     
   1.0000        1.2915e+19    2.1544e+19    1.68067797e-31     
   1.0000        1.2915e+19    3.5938e+19    1.68067797e-31     
   1.0000        1.2915e+19    5.9948e+19    1.68067797e-31     
   1.0000        1.2915e+19    1.0000e+20    1.68067797e-31     
   1.0000        2.1544e+19    1.0000e+18    1.53938278e-31     
   1.0000        2.1544e+19    1.6681e+18    1.53938278e-31     
   1.0000        2.1544e+19    2.7826e+18    1.53938278e-31     
   1.0000        2.1544e+19    4.6416e+18    1.53938278e-31     
   1.0000        2.1544e+19    7.7426e+18    1.53938278e-31     
   1.0000        2.1544e+19    1.2915e+19    1.53938278e-31     
   1.0000        2.1544e+19    2.1544e+19    1.53938278e-31     
   1.0000        2.1544e+19    3.5938e+19    1.53938278e-31     
   1.0000        2.1544e+19    5.9948e+19    1.53938278e-31     
   1.0000        2.1544e+19    1.0000e+20    1.53938278e-31     
   1.0000        3.5938e+19    1.0000e+18    1.36328596e-31     
   1.0000        3.5938e+19    1.6681e+18    1.36328596e-31     
   1.0000        3.5938e+19    2.7826e+18    1.36328596e-31     
   1.0000        3.5938e+19    4.6416e+18    1.36328596e-31     
   1.0000        3.5938e+19    7.7426e+18    1.36328596e-31     
   1.0000        3.5938e+19    1.2915e+19    1.36328596e-31     
   1.0000        3.5938e+19    2.1544e+19    1.36328596e-31     
   1.0000        3.5938e+19    3.5938e+19    1.36328596e-31     
   1.0000        3.5938e+19    5.9948e+19    1.36328596e-31     
   1.0000        3.5938e+19    1.0000e+20    1.36328596e-31     
   1.0000        5.9948e+19    1.0000e+18    1.16621957e-31     
   1.0000        5.9948e+19    1.6681e+18    1.16621957e-31     
   1.0000        5.9948e+19    2.7826e+18    1.16621957e-31     
   1.0000        5.9948e+19    4.6416e+18    1.16621957e-31     
   1.0000        5.9948e+19    7.7426e+18    1.16621957e-31     
   1.0000        5.9948e+19    1.2915e+19    1.16621957e-31     
   1.0000        5.9948e+19    2.1544e+19    1.16621957e-31     
   1.0000        5.9948e+19    3.5938e+19    1.16621957e-31     
   1.0000        5.9948e+19    5.9948e+19    1.16621957e-31     
   1.0000        5.9948e+19    1.0000e+20    1.16621957e-31     
   1.0000        1.0000e+20    1.0000e+18    9.70682601e-32     
   1.0000        1.0000e+20    1.6681e+18    9.70682601e-32     
   1.0000        1.0000e+20    2.7826e+18    9.70682601e-32     
   1.0000        1.0000e+20    4.6416e+18    9.70682601e-32     
   1.0000        1.0000e+20    7.7426e+18    9.70682601e-32     
   1.0000        1.0000e+20    1.2915e+19    9.70682601e-32     
   1.0000        1.0000e+20    2.1544e+19    9.70682601e-32     
   1.0000        1.0000e+20    3.5938e+19    9.70682601e-32     
   1.0000        1.0000e+20    5.9948e+19    9.70682601e-32     
   1.0000        1.0000e+20    1.0000e+20    9.70682601e-32     
   1.2915        1.0000e+18    1.0000e+18    1.10935573e-29     
   1.2915        1.0000e+18    1.6681e+18    1.10935573e-29     
   1.2915        1.0000e+18    2.7826e+18    1.10935573e-29     
   1.2915        1.0000e+18    4.6416e+18    1.10935573e-29     
   1.2915        1.0000e+18    7.7426e+18    1.10935573e-29     
   1.2915        1.0000e+18    1.2915e+19    1.10935573e-29     
   1.2915        1.0000e+18    2.1544e+19    1.10935573e-29     
   1.2915        1.0000e+18    3.5938e+19    1.10935573e-29     
   1.2915        1.0000e+18    5.9948e+19    1.10935573e-29     
   1.2915        1.0000e+18    1.0000e+20    1.10935573e-29     
   1.2915        1.6681e+18    1.0000e+18    1.09403839e-29     
   1.2915        1.6681e+18    1.6681e+18    1.09403839e-29     
   1.2915        1.6681e+18    2.7826e+18    1.09403839e-29     
   1.2915        1.6681e+18    4.6416e+18    1.09403839e-29     
   1.2915        1.6681e+18    7.7426e+18    1.09403839e-29     
   1.2915        1.6681e+18    1.2915e+19    1.09403839e-29     
   1.2915        1.6681e+18    2.1544e+19    1.09403839e-29     
