#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=5.dat'
#   Date of creation: 11. May 2022
#   Time of creation: 07:58:44
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(5)' coupled to the particle 'H2'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 10 calculated values between 1.0000 and 10.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 10 calculated values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_n2: 10 calculated values between 1.0000e+18 and 1.0000e+20

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_n2          POP_COEFF      
   1.0000        1.0000e+18    1.0000e+18    4.02946094e-32     
   1.0000        1.0000e+18    1.6681e+18    4.02946094e-32     
   1.0000        1.0000e+18    2.7826e+18    4.02946094e-32     
   1.0000        1.0000e+18    4.6416e+18    4.02946094e-32     
   1.0000        1.0000e+18    7.7426e+18    4.02946094e-32     
   1.0000        1.0000e+18    1.2915e+19    4.02946094e-32     
   1.0000        1.0000e+18    2.1544e+19    4.02946094e-32     
   1.0000        1.0000e+18    3.5938e+19    4.02946094e-32     
   1.0000        1.0000e+18    5.9948e+19    4.02946094e-32     
   1.0000        1.0000e+18    1.0000e+20    4.02946094e-32     
   1.0000        1.6681e+18    1.0000e+18    3.40560830e-32     
   1.0000        1.6681e+18    1.6681e+18    3.40560830e-32     
   1.0000        1.6681e+18    2.7826e+18    3.40560830e-32     
   1.0000        1.6681e+18    4.6416e+18    3.40560830e-32     
   1.0000        1.6681e+18    7.7426e+18    3.40560830e-32     
   1.0000        1.6681e+18    1.2915e+19    3.40560830e-32     
   1.0000        1.6681e+18    2.1544e+19    3.40560830e-32     
   1.0000        1.6681e+18    3.5938e+19    3.40560830e-32     
   1.0000        1.6681e+18    5.9948e+19    3.40560830e-32     
   1.0000        1.6681e+18    1.0000e+20    3.40560830e-32     
   1.0000        2.7826e+18    1.0000e+18    2.83397499e-32     
   1.0000        2.7826e+18    1.6681e+18    2.83397499e-32     
   1.0000        2.7826e+18    2.7826e+18    2.83397499e-32     
   1.0000        2.7826e+18    4.6416e+18    2.83397499e-32     
   1.0000        2.7826e+18    7.7426e+18    2.83397499e-32     
   1.0000        2.7826e+18    1.2915e+19    2.83397499e-32     
   1.0000        2.7826e+18    2.1544e+19    2.83397499e-32     
   1.0000        2.7826e+18    3.5938e+19    2.83397499e-32     
   1.0000        2.7826e+18    5.9948e+19    2.83397499e-32     
   1.0000        2.7826e+18    1.0000e+20    2.83397499e-32     
   1.0000        4.6416e+18    1.0000e+18    2.32909059e-32     
   1.0000        4.6416e+18    1.6681e+18    2.32909059e-32     
   1.0000        4.6416e+18    2.7826e+18    2.32909059e-32     
   1.0000        4.6416e+18    4.6416e+18    2.32909059e-32     
   1.0000        4.6416e+18    7.7426e+18    2.32909059e-32     
   1.0000        4.6416e+18    1.2915e+19    2.32909059e-32     
   1.0000        4.6416e+18    2.1544e+19    2.32909059e-32     
   1.0000        4.6416e+18    3.5938e+19    2.32909059e-32     
   1.0000        4.6416e+18    5.9948e+19    2.32909059e-32     
   1.0000        4.6416e+18    1.0000e+20    2.32909059e-32     
   1.0000        7.7426e+18    1.0000e+18    1.89863697e-32     
   1.0000        7.7426e+18    1.6681e+18    1.89863697e-32     
   1.0000        7.7426e+18    2.7826e+18    1.89863697e-32     
   1.0000        7.7426e+18    4.6416e+18    1.89863697e-32     
   1.0000        7.7426e+18    7.7426e+18    1.89863697e-32     
   1.0000        7.7426e+18    1.2915e+19    1.89863697e-32     
   1.0000        7.7426e+18    2.1544e+19    1.89863697e-32     
   1.0000        7.7426e+18    3.5938e+19    1.89863697e-32     
   1.0000        7.7426e+18    5.9948e+19    1.89863697e-32     
   1.0000        7.7426e+18    1.0000e+20    1.89863697e-32     
   1.0000        1.2915e+19    1.0000e+18    1.54243098e-32     
   1.0000        1.2915e+19    1.6681e+18    1.54243098e-32     
   1.0000        1.2915e+19    2.7826e+18    1.54243098e-32     
   1.0000        1.2915e+19    4.6416e+18    1.54243098e-32     
   1.0000        1.2915e+19    7.7426e+18    1.54243098e-32     
   1.0000        1.2915e+19    1.2915e+19    1.54243098e-32     
   1.0000        1.2915e+19    2.1544e+19    1.54243098e-32     
   1.0000        1.2915e+19    3.5938e+19    1.54243098e-32     
   1.0000        1.2915e+19    5.9948e+19    1.54243098e-32     
   1.0000        1.2915e+19    1.0000e+20    1.54243098e-32     
   1.0000        2.1544e+19    1.0000e+18    1.25065883e-32     
   1.0000        2.1544e+19    1.6681e+18    1.25065883e-32     
   1.0000        2.1544e+19    2.7826e+18    1.25065883e-32     
   1.0000        2.1544e+19    4.6416e+18    1.25065883e-32     
   1.0000        2.1544e+19    7.7426e+18    1.25065883e-32     
   1.0000        2.1544e+19    1.2915e+19    1.25065883e-32     
   1.0000        2.1544e+19    2.1544e+19    1.25065883e-32     
   1.0000        2.1544e+19    3.5938e+19    1.25065883e-32     
   1.0000        2.1544e+19    5.9948e+19    1.25065883e-32     
   1.0000        2.1544e+19    1.0000e+20    1.25065883e-32     
   1.0000        3.5938e+19    1.0000e+18    1.00905035e-32     
   1.0000        3.5938e+19    1.6681e+18    1.00905035e-32     
   1.0000        3.5938e+19    2.7826e+18    1.00905035e-32     
   1.0000        3.5938e+19    4.6416e+18    1.00905035e-32     
   1.0000        3.5938e+19    7.7426e+18    1.00905035e-32     
   1.0000        3.5938e+19    1.2915e+19    1.00905035e-32     
   1.0000        3.5938e+19    2.1544e+19    1.00905035e-32     
   1.0000        3.5938e+19    3.5938e+19    1.00905035e-32     
   1.0000        3.5938e+19    5.9948e+19    1.00905035e-32     
   1.0000        3.5938e+19    1.0000e+20    1.00905035e-32     
   1.0000        5.9948e+19    1.0000e+18    8.07002566e-33     
   1.0000        5.9948e+19    1.6681e+18    8.07002566e-33     
   1.0000        5.9948e+19    2.7826e+18    8.07002566e-33     
   1.0000        5.9948e+19    4.6416e+18    8.07002566e-33     
   1.0000        5.9948e+19    7.7426e+18    8.07002566e-33     
   1.0000        5.9948e+19    1.2915e+19    8.07002566e-33     
   1.0000        5.9948e+19    2.1544e+19    8.07002566e-33     
   1.0000        5.9948e+19    3.5938e+19    8.07002566e-33     
   1.0000        5.9948e+19    5.9948e+19    8.07002566e-33     
   1.0000        5.9948e+19    1.0000e+20    8.07002566e-33     
   1.0000        1.0000e+20    1.0000e+18    6.40676857e-33     
   1.0000        1.0000e+20    1.6681e+18    6.40676857e-33     
   1.0000        1.0000e+20    2.7826e+18    6.40676857e-33     
   1.0000        1.0000e+20    4.6416e+18    6.40676857e-33     
   1.0000        1.0000e+20    7.7426e+18    6.40676857e-33     
   1.0000        1.0000e+20    1.2915e+19    6.40676857e-33     
   1.0000        1.0000e+20    2.1544e+19    6.40676857e-33     
   1.0000        1.0000e+20    3.5938e+19    6.40676857e-33     
   1.0000        1.0000e+20    5.9948e+19    6.40676857e-33     
   1.0000        1.0000e+20    1.0000e+20    6.40676857e-33     
   1.2915        1.0000e+18    1.0000e+18    2.21537652e-30     
   1.2915        1.0000e+18    1.6681e+18    2.21537652e-30     
   1.2915        1.0000e+18    2.7826e+18    2.21537652e-30     
   1.2915        1.0000e+18    4.6416e+18    2.21537652e-30     
   1.2915        1.0000e+18    7.7426e+18    2.21537652e-30     
   1.2915        1.0000e+18    1.2915e+19    2.21537652e-30     
   1.2915        1.0000e+18    2.1544e+19    2.21537652e-30     
   1.2915        1.0000e+18    3.5938e+19    2.21537652e-30     
   1.2915        1.0000e+18    5.9948e+19    2.21537652e-30     
   1.2915        1.0000e+18    1.0000e+20    2.21537652e-30     
   1.2915        1.6681e+18    1.0000e+18    1.87174291e-30     
   1.2915        1.6681e+18    1.6681e+18    1.87174291e-30     
   1.2915        1.6681e+18    2.7826e+18    1.87174291e-30     
   1.2915        1.6681e+18    4.6416e+18    1.87174291e-30     
   1.2915        1.6681e+18    7.7426e+18    1.87174291e-30     
   1.2915        1.6681e+18    1.2915e+19    1.87174291e-30     
   1.2915        1.6681e+18    2.1544e+19    1.87174291e-30     
   1.2915        1.6681e+18    3.5938e+19    1.87174291e-30     
   1.2915        1.6681e+18    5.9948e+19    1.87174291e-30     
   1.2915        1.6681e+18    1.0000e+20    1.87174291e-30     
   1.2915        2.7826e+18    1.0000e+18    1.55935429e-30     
   1.2915        2.7826e+18    1.6681e+18    1.55935429e-30     
   1.2915        2.7826e+18    2.7826e+18    1.55935429e-30     
   1.2915        2.7826e+18    4.6416e+18    1.55935429e-30     
   1.2915        2.7826e+18    7.7426e+18    1.55935429e-30     
   1.2915        2.7826e+18    1.2915e+19    1.55935429e-30     
   1.2915        2.7826e+18    2.1544e+19    1.55935429e-30     
   1.2915        2.7826e+18    3.5938e+19    1.55935429e-30     
   1.2915        2.7826e+18    5.9948e+19    1.55935429e-30     
   1.2915        2.7826e+18    1.0000e+20    1.55935429e-30     
   1.2915        4.6416e+18    1.0000e+18    1.28524399e-30     
   1.2915        4.6416e+18    1.6681e+18    1.28524399e-30     
   1.2915        4.6416e+18    2.7826e+18    1.28524399e-30     
   1.2915        4.6416e+18    4.6416e+18    1.28524399e-30     
   1.2915        4.6416e+18    7.7426e+18    1.28524399e-30     
   1.2915        4.6416e+18    1.2915e+19    1.28524399e-30     
   1.2915        4.6416e+18    2.1544e+19    1.28524399e-30     
   1.2915        4.6416e+18    3.5938e+19    1.28524399e-30     
   1.2915        4.6416e+18    5.9948e+19    1.28524399e-30     
   1.2915        4.6416e+18    1.0000e+20    1.28524399e-30     
   1.2915        7.7426e+18    1.0000e+18    1.05246449e-30     
   1.2915        7.7426e+18    1.6681e+18    1.05246449e-30     
   1.2915        7.7426e+18    2.7826e+18    1.05246449e-30     
   1.2915        7.7426e+18    4.6416e+18    1.05246449e-30     
   1.2915        7.7426e+18    7.7426e+18    1.05246449e-30     
   1.2915        7.7426e+18    1.2915e+19    1.05246449e-30     
   1.2915        7.7426e+18    2.1544e+19    1.05246449e-30     
   1.2915        7.7426e+18    3.5938e+19    1.05246449e-30     
   1.2915        7.7426e+18    5.9948e+19    1.05246449e-30     
   1.2915        7.7426e+18    1.0000e+20    1.05246449e-30     
   1.2915        1.2915e+19    1.0000e+18    8.58812980e-31     
   1.2915        1.2915e+19    1.6681e+18    8.58812980e-31     
   1.2915        1.2915e+19    2.7826e+18    8.58812980e-31     
   1.2915        1.2915e+19    4.6416e+18    8.58812980e-31     
