#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=6.dat'
#   Date of creation: 10. May 2022
#   Time of creation: 17:44:19
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(6)' coupled to the particle 'H-'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 10 calculated values between 1.0000 and 10.0000
#              T_i1: Fixed value 8000.0000
#              T_i4: Fixed value 8000.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 10 calculated values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_i4: 10 calculated values between 1.0000e+16 and 1.0000e+18

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_i4          POP_COEFF      
   1.0000        1.0000e+18    1.0000e+16    2.38495048e-24     
   1.0000        1.0000e+18    1.6681e+16    2.38495048e-24     
   1.0000        1.0000e+18    2.7826e+16    2.38495048e-24     
   1.0000        1.0000e+18    4.6416e+16    2.38495048e-24     
   1.0000        1.0000e+18    7.7426e+16    2.38495048e-24     
   1.0000        1.0000e+18    1.2915e+17    2.38495048e-24     
   1.0000        1.0000e+18    2.1544e+17    2.38495048e-24     
   1.0000        1.0000e+18    3.5938e+17    2.38495048e-24     
   1.0000        1.0000e+18    5.9948e+17    2.38495048e-24     
   1.0000        1.0000e+18    1.0000e+18    2.38495048e-24     
   1.0000        1.6681e+18    1.0000e+16    3.24477357e-24     
   1.0000        1.6681e+18    1.6681e+16    3.24477357e-24     
   1.0000        1.6681e+18    2.7826e+16    3.24477357e-24     
   1.0000        1.6681e+18    4.6416e+16    3.24477357e-24     
   1.0000        1.6681e+18    7.7426e+16    3.24477357e-24     
   1.0000        1.6681e+18    1.2915e+17    3.24477357e-24     
   1.0000        1.6681e+18    2.1544e+17    3.24477357e-24     
   1.0000        1.6681e+18    3.5938e+17    3.24477357e-24     
   1.0000        1.6681e+18    5.9948e+17    3.24477357e-24     
   1.0000        1.6681e+18    1.0000e+18    3.24477357e-24     
   1.0000        2.7826e+18    1.0000e+16    4.21904245e-24     
   1.0000        2.7826e+18    1.6681e+16    4.21904245e-24     
   1.0000        2.7826e+18    2.7826e+16    4.21904245e-24     
   1.0000        2.7826e+18    4.6416e+16    4.21904245e-24     
   1.0000        2.7826e+18    7.7426e+16    4.21904245e-24     
   1.0000        2.7826e+18    1.2915e+17    4.21904245e-24     
   1.0000        2.7826e+18    2.1544e+17    4.21904245e-24     
   1.0000        2.7826e+18    3.5938e+17    4.21904245e-24     
   1.0000        2.7826e+18    5.9948e+17    4.21904245e-24     
   1.0000        2.7826e+18    1.0000e+18    4.21904245e-24     
   1.0000        4.6416e+18    1.0000e+16    5.16421910e-24     
   1.0000        4.6416e+18    1.6681e+16    5.16421910e-24     
   1.0000        4.6416e+18    2.7826e+16    5.16421910e-24     
   1.0000        4.6416e+18    4.6416e+16    5.16421910e-24     
   1.0000        4.6416e+18    7.7426e+16    5.16421910e-24     
   1.0000        4.6416e+18    1.2915e+17    5.16421910e-24     
   1.0000        4.6416e+18    2.1544e+17    5.16421910e-24     
   1.0000        4.6416e+18    3.5938e+17    5.16421910e-24     
   1.0000        4.6416e+18    5.9948e+17    5.16421910e-24     
