#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=3.dat'
#   Date of creation: 10. May 2022
#   Time of creation: 17:44:19
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(3)' coupled to the particle 'H-'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 10 calculated values between 1.0000 and 10.0000
#              T_i1: Fixed value 8000.0000
#              T_i4: Fixed value 8000.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 10 calculated values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_i4: 10 calculated values between 1.0000e+16 and 1.0000e+18

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_i4          POP_COEFF      
   1.0000        5.9948e+19    7.7426e+16    2.26105268e-22     
   1.0000        5.9948e+19    1.2915e+17    2.26105268e-22     
   1.0000        5.9948e+19    2.1544e+17    2.26105268e-22     
   1.0000        5.9948e+19    3.5938e+17    2.26105268e-22     
   1.0000        5.9948e+19    5.9948e+17    2.26105268e-22     
   1.0000        5.9948e+19    1.0000e+18    2.26105268e-22     
   1.0000        1.0000e+20    1.0000e+16    1.68655651e-22     
   1.0000        1.0000e+20    1.6681e+16    1.68655651e-22     
   1.0000        1.0000e+20    2.7826e+16    1.68655651e-22     
   1.0000        1.0000e+20    4.6416e+16    1.68655651e-22     
   1.0000        1.0000e+20    7.7426e+16    1.68655651e-22     
   1.0000        1.0000e+20    1.2915e+17    1.68655651e-22     
   1.0000        1.0000e+20    2.1544e+17    1.68655651e-22     
   1.0000        1.0000e+20    3.5938e+17    1.68655651e-22     
   1.0000        1.0000e+20    5.9948e+17    1.68655651e-22     
   1.0000        1.0000e+20    1.0000e+18    1.68655651e-22     
   1.2915        1.0000e+18    1.0000e+16    4.50910849e-22     
   1.2915        1.0000e+18    1.6681e+16    4.50910849e-22     
   1.2915        1.0000e+18    2.7826e+16    4.50910849e-22     
   1.2915        1.0000e+18    4.6416e+16    4.50910849e-22     
   1.2915        1.0000e+18    7.7426e+16    4.50910849e-22     
   1.2915        1.0000e+18    1.2915e+17    4.50910849e-22     
   1.2915        1.0000e+18    2.1544e+17    4.50910849e-22     
   1.2915        1.0000e+18    3.5938e+17    4.50910849e-22     
   1.2915        1.0000e+18    5.9948e+17    4.50910849e-22     
   1.2915        1.0000e+18    1.0000e+18    4.50910849e-22     
   1.2915        1.6681e+18    1.0000e+16    4.44809582e-22     
   1.2915        1.6681e+18    1.6681e+16    4.44809582e-22     
   1.2915        1.6681e+18    2.7826e+16    4.44809582e-22     
   1.2915        1.6681e+18    4.6416e+16    4.44809582e-22     
   1.2915        1.6681e+18    7.7426e+16    4.44809582e-22     
   1.2915        1.6681e+18    1.2915e+17    4.44809582e-22     
   1.2915        1.6681e+18    2.1544e+17    4.44809582e-22     
   1.2915        1.6681e+18    3.5938e+17    4.44809582e-22     
   1.2915        1.6681e+18    5.9948e+17    4.44809582e-22     
   1.2915        1.6681e+18    1.0000e+18    4.44809582e-22     
   1.2915        2.7826e+18    1.0000e+16    4.34807716e-22     
   1.2915        2.7826e+18    1.6681e+16    4.34807716e-22     
   1.2915        2.7826e+18    2.7826e+16    4.34807716e-22     
   1.2915        2.7826e+18    4.6416e+16    4.34807716e-22     
   1.2915        2.7826e+18    7.7426e+16    4.34807716e-22     
   1.2915        2.7826e+18    1.2915e+17    4.34807716e-22     
   1.2915        2.7826e+18    2.1544e+17    4.34807716e-22     
   1.2915        2.7826e+18    3.5938e+17    4.34807716e-22     
   1.2915        2.7826e+18    5.9948e+17    4.34807716e-22     
   1.2915        2.7826e+18    1.0000e+18    4.34807716e-22     
   1.2915        4.6416e+18    1.0000e+16    4.18838222e-22     
   1.2915        4.6416e+18    1.6681e+16    4.18838222e-22     
   1.2915        4.6416e+18    2.7826e+16    4.18838222e-22     
   1.2915        4.6416e+18    4.6416e+16    4.18838222e-22     
   1.2915        4.6416e+18    7.7426e+16    4.18838222e-22     
   1.2915        4.6416e+18    1.2915e+17    4.18838222e-22     
   1.2915        4.6416e+18    2.1544e+17    4.18838222e-22     
   1.2915        4.6416e+18    3.5938e+17    4.18838222e-22     
   1.2915        4.6416e+18    5.9948e+17    4.18838222e-22     
   1.2915        4.6416e+18    1.0000e+18    4.18838222e-22     
   1.2915        7.7426e+18    1.0000e+16    3.94389351e-22     
   1.2915        7.7426e+18    1.6681e+16    3.94389351e-22     
   1.2915        7.7426e+18    2.7826e+16    3.94389351e-22     
   1.2915        7.7426e+18    4.6416e+16    3.94389351e-22     
   1.2915        7.7426e+18    7.7426e+16    3.94389351e-22     
   1.2915        7.7426e+18    1.2915e+17    3.94389351e-22     
   1.2915        7.7426e+18    2.1544e+17    3.94389351e-22     
   1.2915        7.7426e+18    3.5938e+17    3.94389351e-22     
   1.2915        7.7426e+18    5.9948e+17    3.94389351e-22     
   1.2915        7.7426e+18    1.0000e+18    3.94389351e-22     
   1.2915        1.2915e+19    1.0000e+16    3.59171431e-22     
   1.2915        1.2915e+19    1.6681e+16    3.59171431e-22     
   1.2915        1.2915e+19    2.7826e+16    3.59171431e-22     
   1.2915        1.2915e+19    4.6416e+16    3.59171431e-22     
   1.2915        1.2915e+19    7.7426e+16    3.59171431e-22     
   1.2915        1.2915e+19    1.2915e+17    3.59171431e-22     
   1.2915        1.2915e+19    2.1544e+17    3.59171431e-22     
   1.2915        1.2915e+19    3.5938e+17    3.59171431e-22     
   1.2915        1.2915e+19    5.9948e+17    3.59171431e-22     
   1.2915        1.2915e+19    1.0000e+18    3.59171431e-22     
   1.2915        2.1544e+19    1.0000e+16    3.12474529e-22     
   1.2915        2.1544e+19    1.6681e+16    3.12474529e-22     
   1.2915        2.1544e+19    2.7826e+16    3.12474529e-22     
   1.2915        2.1544e+19    4.6416e+16    3.12474529e-22     
   1.2915        2.1544e+19    7.7426e+16    3.12474529e-22     
   1.2915        2.1544e+19    1.2915e+17    3.12474529e-22     
   1.2915        2.1544e+19    2.1544e+17    3.12474529e-22     
   1.2915        2.1544e+19    3.5938e+17    3.12474529e-22     
   1.2915        2.1544e+19    5.9948e+17    3.12474529e-22     
   1.2915        2.1544e+19    1.0000e+18    3.12474529e-22     
   1.2915        3.5938e+19    1.0000e+16    2.56747177e-22     
   1.2915        3.5938e+19    1.6681e+16    2.56747177e-22     
   1.2915        3.5938e+19    2.7826e+16    2.56747177e-22     
   1.2915        3.5938e+19    4.6416e+16    2.56747177e-22     
   1.2915        3.5938e+19    7.7426e+16    2.56747177e-22     
   1.2915        3.5938e+19    1.2915e+17    2.56747177e-22     
   1.2915        3.5938e+19    2.1544e+17    2.56747177e-22     
   1.2915        3.5938e+19    3.5938e+17    2.56747177e-22     
   1.2915        3.5938e+19    5.9948e+17    2.56747177e-22     
   1.2915        3.5938e+19    1.0000e+18    2.56747177e-22     
   1.2915        5.9948e+19    1.0000e+16    1.97917012e-22     
   1.2915        5.9948e+19    1.6681e+16    1.97917012e-22     
   1.2915        5.9948e+19    2.7826e+16    1.97917012e-22     
   1.2915        5.9948e+19    4.6416e+16    1.97917012e-22     
   1.2915        5.9948e+19    7.7426e+16    1.97917012e-22     
   1.2915        5.9948e+19    1.2915e+17    1.97917012e-22     
   1.2915        5.9948e+19    2.1544e+17    1.97917012e-22     
   1.2915        5.9948e+19    3.5938e+17    1.97917012e-22     
   1.2915        5.9948e+19    5.9948e+17    1.97917012e-22     
   1.2915        5.9948e+19    1.0000e+18    1.97917012e-22     
   1.2915        1.0000e+20    1.0000e+16    1.43277082e-22     
   1.2915        1.0000e+20    1.6681e+16    1.43277082e-22     
   1.2915        1.0000e+20    2.7826e+16    1.43277082e-22     
   1.2915        1.0000e+20    4.6416e+16    1.43277082e-22     
   1.2915        1.0000e+20    7.7426e+16    1.43277082e-22     
   1.2915        1.0000e+20    1.2915e+17    1.43277082e-22     
   1.2915        1.0000e+20    2.1544e+17    1.43277082e-22     
   1.2915        1.0000e+20    3.5938e+17    1.43277082e-22     
   1.2915        1.0000e+20    5.9948e+17    1.43277082e-22     
   1.2915        1.0000e+20    1.0000e+18    1.43277082e-22     
   1.6681        1.0000e+18    1.0000e+16    4.48799834e-22     
   1.6681        1.0000e+18    1.6681e+16    4.48799834e-22     
   1.6681        1.0000e+18    2.7826e+16    4.48799834e-22     
   1.6681        1.0000e+18    4.6416e+16    4.48799834e-22     
   1.6681        1.0000e+18    7.7426e+16    4.48799834e-22     
   1.6681        1.0000e+18    1.2915e+17    4.48799834e-22     
   1.6681        1.0000e+18    2.1544e+17    4.48799834e-22     
   1.6681        1.0000e+18    3.5938e+17    4.48799834e-22     
   1.6681        1.0000e+18    5.9948e+17    4.48799834e-22     
   1.6681        1.0000e+18    1.0000e+18    4.48799834e-22     
   1.6681        1.6681e+18    1.0000e+16    4.41309214e-22     
   1.6681        1.6681e+18    1.6681e+16    4.41309214e-22     
   1.6681        1.6681e+18    2.7826e+16    4.41309214e-22     
   1.6681        1.6681e+18    4.6416e+16    4.41309214e-22     
   1.6681        1.6681e+18    7.7426e+16    4.41309214e-22     
   1.6681        1.6681e+18    1.2915e+17    4.41309214e-22     
   1.6681        1.6681e+18    2.1544e+17    4.41309214e-22     
   1.6681        1.6681e+18    3.5938e+17    4.41309214e-22     
   1.6681        1.6681e+18    5.9948e+17    4.41309214e-22     
   1.6681        1.6681e+18    1.0000e+18    4.41309214e-22     
   1.6681        2.7826e+18    1.0000e+16    4.29123283e-22     
   1.6681        2.7826e+18    1.6681e+16    4.29123283e-22     
   1.6681        2.7826e+18    2.7826e+16    4.29123283e-22     
   1.6681        2.7826e+18    4.6416e+16    4.29123283e-22     
   1.6681        2.7826e+18    7.7426e+16    4.29123283e-22     
   1.6681        2.7826e+18    1.2915e+17    4.29123283e-22     
   1.6681        2.7826e+18    2.1544e+17    4.29123283e-22     
   1.6681        2.7826e+18    3.5938e+17    4.29123283e-22     
   1.6681        2.7826e+18    5.9948e+17    4.29123283e-22     
   1.6681        2.7826e+18    1.0000e+18    4.29123283e-22     
   1.6681        4.6416e+18    1.0000e+16    4.09933934e-22     
   1.6681        4.6416e+18    1.6681e+16    4.09933934e-22     
   1.6681        4.6416e+18    2.7826e+16    4.09933934e-22     
   1.6681        4.6416e+18    4.6416e+16    4.09933934e-22     
   1.6681        4.6416e+18    7.7426e+16    4.09933934e-22     
   1.6681        4.6416e+18    1.2915e+17    4.09933934e-22     
   1.6681        4.6416e+18    2.1544e+17    4.09933934e-22     
   1.6681        4.6416e+18    3.5938e+17    4.09933934e-22     
   1.6681        4.6416e+18    5.9948e+17    4.09933934e-22     
   1.6681        4.6416e+18    1.0000e+18    4.09933934e-22     
   1.6681        7.7426e+18    1.0000e+16    3.81187440e-22     
   1.6681        7.7426e+18    1.6681e+16    3.81187440e-22     
