   10    5   30    1   10
******************************************
  11.00000  11.92474  12.84948  13.77423  14.69897
  -6.95165  -6.94887  -6.93413  -6.88362  -6.75332
  -6.89360  -6.89116  -6.87740  -6.82741  -6.69440
  -6.83669  -6.83462  -6.82218  -6.77371  -6.63972
  -6.78128  -6.77957  -6.76871  -6.72309  -6.59127
  -6.72811  -6.72674  -6.71764  -6.67650  -6.55152
  -6.67866  -6.67763  -6.67043  -6.63557  -6.52320
  -6.63595  -6.63521  -6.62991  -6.60258  -6.50818
  -6.60496  -6.60447  -6.60083  -6.58090  -6.50689
*****MH= 2.00 Z= 4*****************************
  -8.21461  -8.21461  -8.21456  -8.21443  -8.21401
  -8.14879  -8.14878  -8.14874  -8.14860  -8.14815
  -8.08314  -8.08313  -8.08308  -8.08294  -8.08248
  -8.01764  -8.01758  -8.01735  -8.01669  -8.01485
  -7.95230  -7.95210  -7.95131  -7.94932  -7.94435
  -7.88713  -7.88663  -7.88484  -7.88052  -7.87058
  -7.82212  -7.82120  -7.81792  -7.81024  -7.79341
  -7.75729  -7.75586  -7.75075  -7.73880  -7.71339
  -7.69268  -7.69071  -7.68360  -7.66668  -7.63113
  -7.62829  -7.62580  -7.61662  -7.59422  -7.54730
  -7.56415  -7.56122  -7.55012  -7.52214  -7.46327
  -7.50028  -7.49699  -7.48413  -7.45069  -7.37972
  -7.43668  -7.43315  -7.41887  -7.38058  -7.29841
  -7.37337  -7.36967  -7.35427  -7.31176  -7.21932
  -7.31038  -7.30660  -7.29043  -7.24465  -7.14353
  -7.24771  -7.24391  -7.22731  -7.17919  -7.07103
  -7.18539  -7.18164  -7.16490  -7.11537  -7.00190
  -7.12345  -7.11979  -7.10315  -7.05304  -6.93590
  -7.06192  -7.05839  -7.04200  -6.99182  -6.87216
  -7.00086  -6.99746  -6.98139  -6.93133  -6.80972
  -6.94032  -6.93708  -6.92131  -6.87123  -6.74742
  -6.88037  -6.87732  -6.86188  -6.81146  -6.68463
  -6.82113  -6.81831  -6.80335  -6.75250  -6.62196
  -6.76274  -6.76020  -6.74596  -6.69485  -6.56033
  -6.70537  -6.70316  -6.68997  -6.63941  -6.50213
  -6.64936  -6.64749  -6.63566  -6.58695  -6.44972
  -6.59526  -6.59373  -6.58356  -6.53856  -6.40603
  -6.54422  -6.54303  -6.53480  -6.49578  -6.37420
  -6.49861  -6.49775  -6.49159  -6.46038  -6.35616
  -6.46269  -6.46211  -6.45783  -6.43478  -6.35167
*****MH= 2.00 Z= 5*****************************
  -8.11540  -8.11539  -8.11535  -8.11522  -8.11480
  -8.04953  -8.04952  -8.04948  -8.04934  -8.04890
  -7.98383  -7.98382  -7.98378  -7.98363  -7.98317
  -7.91829  -7.91823  -7.91799  -7.91734  -7.91551
  -7.85290  -7.85269  -7.85191  -7.84992  -7.84497
  -7.78767  -7.78718  -7.78539  -7.78108  -7.77115
  -7.72260  -7.72169  -7.71844  -7.71080  -7.69409
  -7.65772  -7.65630  -7.65123  -7.63935  -7.61406
  -7.59305  -7.59109  -7.58403  -7.56723  -7.53195
  -7.52860  -7.52613  -7.51700  -7.49473  -7.44805
  -7.46439  -7.46149  -7.45045  -7.42265  -7.36411
  -7.40045  -7.39719  -7.38441  -7.35117  -7.28059
  -7.33678  -7.33327  -7.31909  -7.28104  -7.19933
  -7.27340  -7.26972  -7.25442  -7.21219  -7.12026
  -7.21032  -7.20656  -7.19051  -7.14503  -7.04447
  -7.14756  -7.14379  -7.12730  -7.07951  -6.97195
  -7.08514  -7.08142  -7.06480  -7.01561  -6.90279
  -7.02309  -7.01946  -7.00295  -6.95319  -6.83674
  -6.96144  -6.95793  -6.94167  -6.89186  -6.77292
  -6.90025  -6.89687  -6.88092  -6.83122  -6.71033
  -6.83955  -6.83633  -6.82066  -6.77089  -6.64777
  -6.77943  -6.77638  -6.76097  -6.71074  -6.58441
  -6.71998  -6.71713  -6.70207  -6.65110  -6.52064
  -6.66132  -6.65872  -6.64419  -6.59244  -6.45714
  -6.60364  -6.60133  -6.58762  -6.53569  -6.39634
  -6.54721  -6.54521  -6.53266  -6.48175  -6.34083
  -6.49249  -6.49082  -6.47981  -6.43188  -6.29394
  -6.44041  -6.43910  -6.43003  -6.38769  -6.25921
  -6.39294  -6.39198  -6.38509  -6.35066  -6.23876
  -6.35377  -6.35311  -6.34827  -6.32253  -6.23200
*****MH= 2.00 Z= 6*****************************
  -8.03434  -8.03433  -8.03429  -8.03417  -8.03377
  -7.96844  -7.96843  -7.96839  -7.96826  -7.96782
  -7.90270  -7.90269  -7.90265  -7.90251  -7.90204
  -7.83712  -7.83706  -7.83683  -7.83618  -7.83436
  -7.77169  -7.77149  -7.77071  -7.76874  -7.76382
  -7.70642  -7.70593  -7.70415  -7.69988  -7.69007
  -7.64131  -7.64040  -7.63716  -7.62956  -7.61294
  -7.57638  -7.57497  -7.56992  -7.55809  -7.53294
  -7.51166  -7.50971  -7.50269  -7.48597  -7.45084
  -7.44716  -7.44470  -7.43562  -7.41347  -7.36703
  -7.38290  -7.38001  -7.36903  -7.34137  -7.28308
  -7.31890  -7.31566  -7.30295  -7.26988  -7.19962
  -7.25517  -7.25168  -7.23758  -7.19972  -7.11838
  -7.19172  -7.18807  -7.17286  -7.13084  -7.03932
  -7.12858  -7.12484  -7.10888  -7.06365  -6.96354
  -7.06574  -7.06200  -7.04561  -6.99808  -6.89101
  -7.00325  -6.99955  -6.98303  -6.93412  -6.82183
  -6.94111  -6.93751  -6.92110  -6.87163  -6.75573
  -6.87937  -6.87588  -6.85973  -6.81021  -6.69185
  -6.81807  -6.81472  -6.79886  -6.74946  -6.62917
  -6.75725  -6.75405  -6.73846  -6.68897  -6.56642
  -6.69699  -6.69394  -6.67858  -6.62854  -6.50270
  -6.63737  -6.63451  -6.61941  -6.56844  -6.43816
  -6.57852  -6.57588  -6.56115  -6.50902  -6.37332
  -6.52059  -6.51821  -6.50413  -6.45124  -6.31051
  -6.46384  -6.46174  -6.44864  -6.39607  -6.25248
  -6.40866  -6.40689  -6.39520  -6.34495  -6.20290
  -6.35586  -6.35444  -6.34466  -6.29958  -6.16567
  -6.30709  -6.30603  -6.29850  -6.26133  -6.14318
  -6.26558  -6.26486  -6.25952  -6.23142  -6.13465
*****MH= 2.00 Z= 7*****************************
  -7.96582  -7.96581  -7.96577  -7.96564  -7.96525
  -7.89989  -7.89988  -7.89983  -7.89970  -7.89927
  -7.83411  -7.83410  -7.83406  -7.83392  -7.83347
  -7.76850  -7.76844  -7.76821  -7.76756  -7.76575
  -7.70304  -7.70283  -7.70206  -7.70010  -7.69521
  -7.63773  -7.63724  -7.63547  -7.63122  -7.62144
  -7.57258  -7.57168  -7.56846  -7.56090  -7.54436
  -7.50762  -7.50621  -7.50118  -7.48941  -7.46435
  -7.44285  -7.44092  -7.43392  -7.41728  -7.38229
  -7.37831  -7.37586  -7.36683  -7.34476  -7.29848
  -7.31401  -7.31113  -7.30020  -7.27265  -7.21459
  -7.24996  -7.24673  -7.23408  -7.20115  -7.13116
  -7.18618  -7.18271  -7.16867  -7.13098  -7.04994
  -7.12268  -7.11905  -7.10390  -7.06207  -6.97090
  -7.05948  -7.05576  -7.03988  -6.99485  -6.89513
  -6.99659  -6.99286  -6.97655  -6.92924  -6.82259
  -6.93402  -6.93034  -6.91391  -6.86523  -6.75338
  -6.87182  -6.86823  -6.85191  -6.80268  -6.68725
  -6.81000  -6.80653  -6.79046  -6.74118  -6.62331
  -6.74861  -6.74527  -6.72950  -6.68034  -6.56056
  -6.68769  -6.68450  -6.66899  -6.61974  -6.49769
  -6.62732  -6.62428  -6.60896  -6.55911  -6.43371
  -6.56756  -6.56470  -6.54958  -6.49866  -6.36863
  -6.50855  -6.50588  -6.49103  -6.43866  -6.30275
  -6.45043  -6.44799  -6.43362  -6.38003  -6.23834
  -6.39342  -6.39124  -6.37770  -6.32384  -6.17823
  -6.33789  -6.33602  -6.32376  -6.27163  -6.12634
  -6.28454  -6.28302  -6.27262  -6.22523  -6.08691
  -6.23479  -6.23365  -6.22556  -6.18599  -6.06262
  -6.19153  -6.19074  -6.18496  -6.15475  -6.05260
*****MH= 2.00 Z= 8*****************************
  -7.90646  -7.90645  -7.90641  -7.90629  -7.90590
  -7.84050  -7.84050  -7.84045  -7.84032  -7.83990
  -7.77470  -7.77469  -7.77465  -7.77451  -7.77406
  -7.70906  -7.70900  -7.70877  -7.70814  -7.70636
  -7.64357  -7.64337  -7.64260  -7.64065  -7.63581
  -7.57823  -7.57775  -7.57598  -7.57174  -7.56198
  -7.51306  -7.51216  -7.50895  -7.50142  -7.48494
  -7.44806  -7.44665  -7.44164  -7.42990  -7.40491
  -7.38326  -7.38133  -7.37436  -7.35777  -7.32288
  -7.31868  -7.31624  -7.30724  -7.28524  -7.23910
  -7.25434  -7.25147  -7.24058  -7.21314  -7.15528
  -7.19025  -7.18704  -7.17443  -7.14163  -7.07186
  -7.12643  -7.12297  -7.10899  -7.07144  -6.99066
  -7.06289  -7.05926  -7.04418  -7.00251  -6.91164
  -6.99963  -6.99593  -6.98011  -6.93526  -6.83586
  -6.93669  -6.93298  -6.91674  -6.86961  -6.76332
  -6.87407  -6.87041  -6.85404  -6.80556  -6.69409
  -6.81180  -6.80823  -6.79198  -6.74296  -6.62793
  -6.74992  -6.74647  -6.73047  -6.68141  -6.56395
  -6.68845  -6.68513  -6.66943  -6.62049  -6.50114
  -6.62745  -6.62428  -6.60883  -6.55979  -6.43818
  -6.56698  -6.56395  -6.54869  -6.49901  -6.37400
  -6.50712  -6.50425  -6.48913  -6.43829  -6.30851
  -6.44797  -6.44528  -6.43034  -6.37782  -6.24184
  -6.38968  -6.38720  -6.37262  -6.31851  -6.17613
  -6.33246  -6.33022  -6.31631  -6.26143  -6.11425
  -6.27665  -6.27470  -6.26195  -6.20825  -6.06033
  -6.22286  -6.22126  -6.21032  -6.16094  -6.01895
  -6.17236  -6.17114  -6.16254  -6.12086  -5.99302
  -6.12773  -6.12688  -6.12068  -6.08856  -5.98172
*****MH= 2.00 Z= 9*****************************
  -7.85411  -7.85410  -7.85406  -7.85394  -7.85355
  -7.78813  -7.78812  -7.78808  -7.78795  -7.78752
  -7.72231  -7.72230  -7.72225  -7.72211  -7.72166
  -7.65664  -7.65658  -7.65635  -7.65571  -7.65394
  -7.59112  -7.59092  -7.59016  -7.58822  -7.58342
  -7.52576  -7.52527  -7.52351  -7.51929  -7.50958
  -7.46055  -7.45966  -7.45645  -7.44894  -7.43249
  -7.39553  -7.39412  -7.38913  -7.37742  -7.35251
  -7.33070  -7.32877  -7.32182  -7.30528  -7.27050
  -7.26609  -7.26365  -7.25468  -7.23275  -7.18672
  -7.20171  -7.19886  -7.18800  -7.16064  -7.10294
  -7.13759  -7.13439  -7.12183  -7.08912  -7.01955
  -7.07373  -7.07028  -7.05635  -7.01892  -6.93838
  -7.01015  -7.00654  -6.99151  -6.94998  -6.85936
  -6.94685  -6.94317  -6.92741  -6.88270  -6.78359
  -6.88386  -6.88017  -6.86399  -6.81703  -6.71104
  -6.82120  -6.81755  -6.80125  -6.75294  -6.64180
  -6.75888  -6.75532  -6.73913  -6.69029  -6.57561
  -6.69693  -6.69349  -6.67756  -6.62868  -6.51160
  -6.63540  -6.63210  -6.61646  -6.56771  -6.44874
  -6.57433  -6.57117  -6.55578  -6.50692  -6.38570
  -6.51378  -6.51076  -6.49554  -6.44602  -6.32138
  -6.45381  -6.45095  -6.43584  -6.38509  -6.25557
  -6.39455  -6.39185  -6.37684  -6.32425  -6.18827
  -6.33612  -6.33360  -6.31885  -6.26435  -6.12147
  -6.27872  -6.27643  -6.26222  -6.20650  -6.05808
  -6.22267  -6.22065  -6.20749  -6.15246  -6.00237
  -6.16853  -6.16685  -6.15543  -6.10432  -5.95921
  -6.11742  -6.11614  -6.10707  -6.06351  -5.93180
  -6.07169  -6.07079  -6.06421  -6.03035  -5.91934
*****MH= 2.00 Z=10*****************************
  -7.80728  -7.80728  -7.80724  -7.80712  -7.80674
  -7.74128  -7.74127  -7.74123  -7.74110  -7.74069
  -7.67544  -7.67543  -7.67539  -7.67525  -7.67481
