#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=4.dat'
#   Date of creation: 11. May 2022
#   Time of creation: 10:25:46
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(4)' coupled to the particle 'H-'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 10 calculated values between 1.0000 and 10.0000
#              T_i1: Fixed value 8000.0000
#              T_i4: Fixed value 8000.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 10 calculated values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_i4: 10 calculated values between 1.0000e+14 and 1.0000e+16

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_i4          POP_COEFF      
   1.0000        1.0000e+18    1.0000e+14    1.55598710e-23     
   1.0000        1.0000e+18    1.6681e+14    1.55598710e-23     
   1.0000        1.0000e+18    2.7826e+14    1.55598710e-23     
   1.0000        1.0000e+18    4.6416e+14    1.55598710e-23     
   1.0000        1.0000e+18    7.7426e+14    1.55598710e-23     
   1.0000        1.0000e+18    1.2915e+15    1.55598710e-23     
   1.0000        1.0000e+18    2.1544e+15    1.55598710e-23     
   1.0000        1.0000e+18    3.5938e+15    1.55598710e-23     
   1.0000        1.0000e+18    5.9948e+15    1.55598710e-23     
   1.0000        1.0000e+18    1.0000e+16    1.55598710e-23     
   1.0000        1.6681e+18    1.0000e+14    2.25521517e-23     
   1.0000        1.6681e+18    1.6681e+14    2.25521517e-23     
   1.0000        1.6681e+18    2.7826e+14    2.25521517e-23     
   1.0000        1.6681e+18    4.6416e+14    2.25521517e-23     
   1.0000        1.6681e+18    7.7426e+14    2.25521517e-23     
   1.0000        1.6681e+18    1.2915e+15    2.25521517e-23     
   1.0000        1.6681e+18    2.1544e+15    2.25521517e-23     
   1.0000        1.6681e+18    3.5938e+15    2.25521517e-23     
   1.0000        1.6681e+18    5.9948e+15    2.25521517e-23     
   1.0000        1.6681e+18    1.0000e+16    2.25521517e-23     
   1.0000        2.7826e+18    1.0000e+14    3.07192181e-23     
   1.0000        2.7826e+18    1.6681e+14    3.07192181e-23     
   1.0000        2.7826e+18    2.7826e+14    3.07192181e-23     
   1.0000        2.7826e+18    4.6416e+14    3.07192181e-23     
   1.0000        2.7826e+18    7.7426e+14    3.07192181e-23     
   1.0000        2.7826e+18    1.2915e+15    3.07192181e-23     
   1.0000        2.7826e+18    2.1544e+15    3.07192181e-23     
   1.0000        2.7826e+18    3.5938e+15    3.07192181e-23     
   1.0000        2.7826e+18    5.9948e+15    3.07192181e-23     
   1.0000        2.7826e+18    1.0000e+16    3.07192181e-23     
   1.0000        4.6416e+18    1.0000e+14    3.88281091e-23     
   1.0000        4.6416e+18    1.6681e+14    3.88281091e-23     
   1.0000        4.6416e+18    2.7826e+14    3.88281091e-23     
   1.0000        4.6416e+18    4.6416e+14    3.88281091e-23     
   1.0000        4.6416e+18    7.7426e+14    3.88281091e-23     
   1.0000        4.6416e+18    1.2915e+15    3.88281091e-23     
   1.0000        4.6416e+18    2.1544e+15    3.88281091e-23     
   1.0000        4.6416e+18    3.5938e+15    3.88281091e-23     
   1.0000        4.6416e+18    5.9948e+15    3.88281091e-23     
   1.0000        4.6416e+18    1.0000e+16    3.88281091e-23     
   1.0000        7.7426e+18    1.0000e+14    4.51863674e-23     
   1.0000        7.7426e+18    1.6681e+14    4.51863674e-23     
   1.0000        7.7426e+18    2.7826e+14    4.51863674e-23     
   1.0000        7.7426e+18    4.6416e+14    4.51863674e-23     
   1.0000        7.7426e+18    7.7426e+14    4.51863674e-23     
   1.0000        7.7426e+18    1.2915e+15    4.51863674e-23     
   1.0000        7.7426e+18    2.1544e+15    4.51863674e-23     
   1.0000        7.7426e+18    3.5938e+15    4.51863674e-23     
   1.0000        7.7426e+18    5.9948e+15    4.51863674e-23     
   1.0000        7.7426e+18    1.0000e+16    4.51863674e-23     
   1.0000        1.2915e+19    1.0000e+14    4.82804337e-23     
   1.0000        1.2915e+19    1.6681e+14    4.82804337e-23     
   1.0000        1.2915e+19    2.7826e+14    4.82804337e-23     
   1.0000        1.2915e+19    4.6416e+14    4.82804337e-23     
   1.0000        1.2915e+19    7.7426e+14    4.82804337e-23     
   1.0000        1.2915e+19    1.2915e+15    4.82804337e-23     
   1.0000        1.2915e+19    2.1544e+15    4.82804337e-23     
   1.0000        1.2915e+19    3.5938e+15    4.82804337e-23     
   1.0000        1.2915e+19    5.9948e+15    4.82804337e-23     
   1.0000        1.2915e+19    1.0000e+16    4.82804337e-23     
   1.0000        2.1544e+19    1.0000e+14    4.73485849e-23     
   1.0000        2.1544e+19    1.6681e+14    4.73485849e-23     
   1.0000        2.1544e+19    2.7826e+14    4.73485849e-23     
   1.0000        2.1544e+19    4.6416e+14    4.73485849e-23     
   1.0000        2.1544e+19    7.7426e+14    4.73485849e-23     
   1.0000        2.1544e+19    1.2915e+15    4.73485849e-23     
   1.0000        2.1544e+19    2.1544e+15    4.73485849e-23     
   1.0000        2.1544e+19    3.5938e+15    4.73485849e-23     
   1.0000        2.1544e+19    5.9948e+15    4.73485849e-23     
   1.0000        2.1544e+19    1.0000e+16    4.73485849e-23     
   1.0000        3.5938e+19    1.0000e+14    4.26252027e-23     
   1.0000        3.5938e+19    1.6681e+14    4.26252027e-23     
   1.0000        3.5938e+19    2.7826e+14    4.26252027e-23     
   1.0000        3.5938e+19    4.6416e+14    4.26252027e-23     
   1.0000        3.5938e+19    7.7426e+14    4.26252027e-23     
   1.0000        3.5938e+19    1.2915e+15    4.26252027e-23     
   1.0000        3.5938e+19    2.1544e+15    4.26252027e-23     
   1.0000        3.5938e+19    3.5938e+15    4.26252027e-23     
   1.0000        3.5938e+19    5.9948e+15    4.26252027e-23     
   1.0000        3.5938e+19    1.0000e+16    4.26252027e-23     
   1.0000        5.9948e+19    1.0000e+14    3.52696772e-23     
   1.0000        5.9948e+19    1.6681e+14    3.52696772e-23     
   1.0000        5.9948e+19    2.7826e+14    3.52696772e-23     
   1.0000        5.9948e+19    4.6416e+14    3.52696772e-23     
